Name,Price,Market price,Location,Thumbnail,Images,Gear,Odometer,Fuel type,Car condition,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Color,Registered Car,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Seats,Exchange Possible,VIN Chassis number,Mileage,VIN number
Lexus GX 460 Luxury 2015 White,"₦ 30,000,000",₦ 27 M ~ 28 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/115173309_NjIwLTgyNy00YWRiOTExM2E4.webp,https://pictures-nigeria.jijistatic.com/115173309_MTExLTE0OC00YWRiOTExM2E4.webp | https://pictures-nigeria.jijistatic.com/115173275_MTExLTgzLTE3YWZmMThhYmQ.webp | https://pictures-nigeria.jijistatic.com/115173303_MTExLTE0OC00NmYzNTliOTIz.webp | https://pictures-nigeria.jijistatic.com/115173311_MTExLTgzLWQ0NTViYzI0N2U.webp | https://pictures-nigeria.jijistatic.com/115173274_MTExLTE0OC01YmI1ZjA2MDdj.webp,Automatic,50000 km,Petrol,Foreign Used,,Bright Fash,https://jiji.ng/gwarinpa/cars/lexus-gx-460-luxury-2015-white-3HKaXAlM7lnBW6cltfBMV1Dj.html,No faults,Lexus,GX,2015,White,,460 Luxury,SUV,4x4,4600           cc,8,301           hp,7,,,,
Toyota 4-Runner 2001 Gray,"₦ 1,400,000,",₦ 1.49 M ~ 1.76 M,"Lagos, Yaba",https://pictures-nigeria.jijistatic.com/117214649_NjIwLTgyNy0wOGVmNDE0NmRh.webp,https://pictures-nigeria.jijistatic.com/117214649_MTExLTE0OC0wOGVmNDE0NmRh.webp | https://pictures-nigeria.jijistatic.com/117214660_MTExLTE0OC01MmVkNzNkOGQx.webp | https://pictures-nigeria.jijistatic.com/117214661_MTExLTE0OC05MTQ5NDM1YzJh.webp | https://pictures-nigeria.jijistatic.com/117214662_MTExLTE0OC0yYWQ2ZDQ3MTVm.webp | https://pictures-nigeria.jijistatic.com/117214665_MTExLTgzLWI5ZmM5MzgzNDA.webp,Automatic,,,Nigerian Used,,Offor Chris Mereze,https://jiji.ng/yaba/cars/toyota-4-runner-2001-gray-a085gYauhErZsBhbXaipE4Tf.html,No faults,Toyota,4-Runner,2001,Gray,Yes,,,,,,,,,,,
New Toyota Hilux 2022 Black,"₦ 80,000,000",₦ 38 M ~ 42.7 M,"Abuja, Wuse 2",https://pictures-nigeria.jijistatic.com/107917184_NjIwLTgyNy02OTI3M2YwZjRj.webp,https://pictures-nigeria.jijistatic.com/107917184_MTExLTE0OC02OTI3M2YwZjRj.webp | https://pictures-nigeria.jijistatic.com/107917183_MTExLTgzLWVkMjQ0OTIwNDc.webp | https://pictures-nigeria.jijistatic.com/107917185_MTExLTE0OC1iMDQ0MjBmZWZm.webp | https://pictures-nigeria.jijistatic.com/107917187_MTExLTgzLThkODZhYjZmZTQ.webp | https://pictures-nigeria.jijistatic.com/107917186_MTExLTgzLTdiNjZiNjU0NWQ.webp,Automatic,,,Brand New,,Wyatt1 Autos,https://jiji.ng/wuse-ii/cars/new-toyota-hilux-2022-black-CavSC5OnQcVZXzgSZfGwrGFr.html,No faults,Toyota,Hilux,2022,Black,No,Revo Double Cab Petrol 2.7 AWD,,,,,,,Yes,,0           km,
Peugeot 207 1.4 XR 2009 Silver,"₦ 1,850,000",,"Lagos, Ojo",https://pictures-nigeria.jijistatic.com/90643619_NjIwLTQ2NS1hZTI3NzUyMTBl.webp,https://pictures-nigeria.jijistatic.com/90643619_MTExLTgzLWFlMjc3NTIxMGU.webp | https://pictures-nigeria.jijistatic.com/90624262_MTExLTgzLTUyYTAzMjk4MTE.webp | https://pictures-nigeria.jijistatic.com/90624265_MTExLTgzLTYyMzVlMmJmNTY.webp | https://pictures-nigeria.jijistatic.com/90640675_MTExLTE0OC02OGU4YTA3MzJj.webp | https://pictures-nigeria.jijistatic.com/90641404_MTExLTgzLWIzZjJhMDZkNzQ.webp,Automatic,,Petrol,Foreign Used,,Ajiboro Remi Emeka,https://jiji.ng/ojo/cars/peugeot-207-1-4-xr-2009-silver-A7HRRzEROJzsFloNytKiW1Qi.html,No faults,Peugeot,207,2009,Silver,No,1.4 XR,,Front Wheel,1400           cc,4,75           hp,5,,,,
Ford Edge 2013 Blue,"₦ 7,250,000",₦ 6.26 M ~ 6.8 M,"Lagos, Surulere",https://pictures-nigeria.jijistatic.com/116446069_NjIwLTQ2NS05ODE2ZDkwM2Jh.webp,https://pictures-nigeria.jijistatic.com/116446069_MTExLTgzLTk4MTZkOTAzYmE.webp | https://pictures-nigeria.jijistatic.com/116445956_MTExLTgzLTI3YTg2MWE4ZGU.webp | https://pictures-nigeria.jijistatic.com/116446013_MTExLTgzLTMxYjcwZDE1YmM.webp | https://pictures-nigeria.jijistatic.com/116446014_MTExLTgzLTQxMDZmOWFmYjE.webp | https://pictures-nigeria.jijistatic.com/116446031_MTExLTgzLTljODQzOWMzMWU.webp,Automatic,,Petrol,Foreign Used,,Godson Okeke,https://jiji.ng/surulere/cars/ford-edge-2013-blue-6uWff7dbFxRghovuc0o1S79Q.html,No faults,Ford,Edge,2013,Blue,No,Limited 4dr AWD (3.5L 6cyl 6A),SUV,All Wheel,3500           cc,6,285           hp,5,,2FMDK4KC0DB******,,
Mercedes-Benz M Class ML 350 4Matic 2008 Gray,"₦ 7,500,000,",₦ 6.48 M ~ 6.86 M,"Lagos, Apapa",https://pictures-nigeria.jijistatic.com/115562078_NjIwLTQ2NS02MjczYmRkY2M4LTE.webp,https://pictures-nigeria.jijistatic.com/115562078_MTExLTgzLTYyNzNiZGRjYzgtMQ.webp | https://pictures-nigeria.jijistatic.com/115562074_MTExLTgzLTY3ZGY1ZDFhNmUtMQ.webp | https://pictures-nigeria.jijistatic.com/115561917_MTExLTgzLWEzNjY5NzVlNGQtMQ.webp | https://pictures-nigeria.jijistatic.com/115562067_MTExLTgzLTVlZGM4NDI2MWUtMQ.webp | https://pictures-nigeria.jijistatic.com/115562104_MTExLTgzLWY1NmIzNzA4MWItMQ.webp,Automatic,,Petrol,Foreign Used,Air Conditioning | AM/FM Radio | CD Player | Alloy Wheels | Airbags | Anti-Lock Brakes | Armrests | Blind Spot Monitor | Bullbar | Cruise Control | Cup Holders | Electric Mirrors | Electric Windows | Front Fog Lamps | Leather Seats | LED Headlights | Parking Sensors | Roof Rack | Sidesteps | Spotlight | Sunroof | Traction Control | Winch | Xenon Lights,AUSTIN Automobile MOTORS,https://jiji.ng/apapa/cars/mercedes-benz-m-class-ml-350-4matic-2008-gray-a2UX1iaW6CDiiPPEBPELUAFA.html,No faults,Mercedes-Benz,M Class,2008,Gray,,ML 350 4Matic,SUV,All Wheel,3500           cc,6,268           hp,5,,,,
Lexus RX 2009 Black,"₦ 7,400,000",₦ 7.25 M ~ 7.5 M,"Lagos, Alimosho",https://pictures-nigeria.jijistatic.com/113680728_NjIwLTQ2NC1iMWQxY2NhNDJm.webp,https://pictures-nigeria.jijistatic.com/113680728_MTExLTgzLWIxZDFjY2E0MmY.webp | https://pictures-nigeria.jijistatic.com/113680730_MTExLTE0OC04Y2Q2N2I4ZGY5.webp | https://pictures-nigeria.jijistatic.com/113680741_MTExLTE0OC0wNmVkY2M2Nzlk.webp | https://pictures-nigeria.jijistatic.com/113680737_MTExLTE0OC04Yzc2NDE0Y2Rm.webp | https://pictures-nigeria.jijistatic.com/113680742_MTExLTE0OC0wNTAxNzZmMTQ4.webp,Automatic,,,Foreign Used,,Bgpsalmgift autos,https://jiji.ng/alimosho/cars/lexus-rx-2009-black-nrafSqElRxU3DkxzoEIEJReq.html,No faults,Lexus,RX,2009,Black,,,,,,,,,,,,
Toyota Sienna 2004 Blue,"₦ 4,200,000",₦ 4.5 M ~ 4.85 M,"Enugu, Enugu / Enugu State",https://pictures-nigeria.jijistatic.com/117040305_NjIwLTgyOS03MzBhNjUzYmYw.webp,https://pictures-nigeria.jijistatic.com/117040305_MTExLTE0OC03MzBhNjUzYmYw.webp | https://pictures-nigeria.jijistatic.com/117040308_MTExLTgzLTdiM2FiNDg2N2U.webp | https://pictures-nigeria.jijistatic.com/117040309_MTExLTgzLTNjZjQxNmU1YWY.webp | https://pictures-nigeria.jijistatic.com/117040310_MTExLTgzLWIwYTRlZTdkODk.webp | https://pictures-nigeria.jijistatic.com/117040311_MTExLTgzLWU1MjFkNzQyMWE.webp,Automatic,,,Foreign Used,,Microless systems,https://jiji.ng/enugu-north/cars/toyota-sienna-2004-blue-n17Z1abjjtrZxrXPrayMirvW.html,No faults,Toyota,Sienna,2004,Blue,,,,,,,,,,,,
Toyota Tacoma 2007 Gray,"₦ 7,000,000",₦ 8.03 M ~ 8.5 M,"Oyo, Ibadan",https://pictures-nigeria.jijistatic.com/116410541_NjIwLTgyNy04MWQ5NTA2N2Jm.webp,https://pictures-nigeria.jijistatic.com/116410541_MTExLTE0OC04MWQ5NTA2N2Jm.webp | https://pictures-nigeria.jijistatic.com/116410547_MTExLTE0OC0zZjcwY2E1YWIx.webp | https://pictures-nigeria.jijistatic.com/116405965_MTExLTk2LTU2NWM4OWEyNDQ.webp | https://pictures-nigeria.jijistatic.com/116405966_MTExLTgzLTFhYmExYTg3NDQ.webp | https://pictures-nigeria.jijistatic.com/116405967_MTExLTYxLTk3MzRkMzA3M2E.webp,Automatic,157480 km,,Foreign Used,Air Conditioning | Airbags | Alloy Wheels | AM/FM Radio | Android Auto | Anti-Lock Brakes | CarPlay | CD Player | Cruise Control | Cup Holders | Electric Windows,Ibiolavilla Nig,https://jiji.ng/ibadan/cars/toyota-tacoma-2007-gray-q7UCccZi5v9Cunfb1gdMVS4w.html,No faults,Toyota,Tacoma,2007,Gray,No,Double Cab Long Automatic 4x4,Pickup,All Wheel,4000           cc,6,239           hp,5,Yes,,,
Toyota Land Cruiser Prado 2.7 I 2011 Black,"₦ 12,150,000,",₦ 13.35 M ~ 15.5 M,"Lagos, Lekki",https://pictures-nigeria.jijistatic.com/117229944_NjIwLTYyOS1hM2M2MjQ0NzBh.webp,https://pictures-nigeria.jijistatic.com/117229944_MTExLTExMy1hM2M2MjQ0NzBh.webp | https://pictures-nigeria.jijistatic.com/117227126_MTExLTE0OC1iMDFhYWViNmUx.webp | https://pictures-nigeria.jijistatic.com/117227127_MTExLTgzLTE3NmRhNmU0NmU.webp | https://pictures-nigeria.jijistatic.com/117227128_MTExLTE0OC1mZDczMjcxNDgw.webp | https://pictures-nigeria.jijistatic.com/117229943_MTExLTExNy0wMmFhM2UyMDhl.webp,Automatic,52122 km,Petrol,Nigerian Used,Air Conditioning | AM/FM Radio | CD Player | Alloy Wheels | Airbags | Android Auto | Anti-Lock Brakes | Armrests | Blind Spot Monitor | Bullbar,MrBayaAutos,https://jiji.ng/lekki/cars/toyota-land-cruiser-prado-2-7-i-2011-black-rJuiXUyuh3oPZySYEdwzYSC6.html,"First owner, First registration, No faults",Toyota,Land Cruiser Prado,2011,Black,Yes,2.7 i,SUV,All Wheel,2700           cc,4,163           hp,5,,,,
