Name,Price,Market price,Location,Thumbnail,Images,Gear,Odometer,Fuel type,Car condition,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Color,Registered Car,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Seats,Exchange Possible,VIN Chassis number,Mileage,VIN number
Toyota Sienna 2013 Burgandy,"₦ 8,500,000,",₦ 8.5 M ~ 8.74 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/114399158_NjIwLTQ2NS1hYzkyNDk2YThj.webp,https://pictures-nigeria.jijistatic.com/114399158_MTExLTgzLWFjOTI0OTZhOGM.webp | https://pictures-nigeria.jijistatic.com/114399163_MTExLTgzLTdlMGIzMmYzZGM.webp | https://pictures-nigeria.jijistatic.com/114399142_MTExLTgzLThhYWVlMDVmMTU.webp | https://pictures-nigeria.jijistatic.com/114399129_MTExLTgzLTA2OWI3NDMwNzg.webp | https://pictures-nigeria.jijistatic.com/114399153_MTExLTgzLTYyN2ZmMmE5NWU.webp,Automatic,,,Foreign Used,Air Conditioning | AM/FM Radio | CD Player | Alloy Wheels | Airbags | Android Auto | Anti-Lock Brakes | Armrests | Cruise Control | Cup Holders | Electric Mirrors | Electric Windows | Leather Seats,Leo Jas,https://jiji.ng/gwarinpa/cars/toyota-sienna-2013-burgandy-l1ntJvwSS4L5X94MU2MH40cT.html,No faults,Toyota,Sienna,2013,Burgandy,No,,,,,,,,,,,
Lexus RX 350 AWD 2015 Red,"₦ 14,000,000",₦ 14.5 M ~ 14.95 M,"Lagos, Ikeja",https://pictures-nigeria.jijistatic.com/106120510_NjIwLTgyOC0zYzgzNDI3ZGFm.webp,https://pictures-nigeria.jijistatic.com/106120510_MTExLTE0OC0zYzgzNDI3ZGFm.webp | https://pictures-nigeria.jijistatic.com/106120518_MTExLTgzLTYwYmUzOTE2NzA.webp | https://pictures-nigeria.jijistatic.com/106120529_MTExLTE0OC03YTQwMzI5Mjdk.webp | https://pictures-nigeria.jijistatic.com/106120528_MTExLTE0OC1hZjdjZWQ1MGU0.webp | https://pictures-nigeria.jijistatic.com/106120541_MTExLTE0OC1iZGFjZjNiYjkw.webp,Automatic,,Petrol,Foreign Used,,Loykapd International,https://jiji.ng/ikeja/cars/lexus-rx-350-awd-2015-red-wxPH85tdAnvCBuFODBV35Vg1.html,No faults,Lexus,RX,2015,Red,No,350 AWD,SUV,All Wheel,3500           cc,6,270           hp,5,,,,
Land Rover Range Rover Velar 2020 Black,"₦ 38,000,000,",₦ 48 M ~ 53.25 M,"Abuja, Central Business District",https://pictures-nigeria.jijistatic.com/115805431_NjIwLTQ2NS05NzUxZTc0OGFl.webp,https://pictures-nigeria.jijistatic.com/115805431_MTExLTgzLTk3NTFlNzQ4YWU.webp | https://pictures-nigeria.jijistatic.com/115805429_MTExLTgzLWJkZjgzY2UzYmQ.webp | https://pictures-nigeria.jijistatic.com/115805432_MTExLTgzLTkzNTZkMzdjZjI.webp | https://pictures-nigeria.jijistatic.com/115805428_MTExLTgzLTBjMDc4ZjBhZTI.webp | https://pictures-nigeria.jijistatic.com/115805430_MTExLTgzLTEzODNiNTQ3YTg.webp,Automatic,,,Foreign Used,,Agbo Kelvin,https://jiji.ng/central-business-district/cars/land-rover-range-rover-velar-2020-black-rnlbHh3U7UVZhODJPxE7LUjE.html,No faults,Land Rover,Range Rover Velar,2020,Black,No,,,,,,,,Yes,,,
Toyota Highlander XLE 2021 Red,"₦ 28,000,000",₦ 40.93 M ~ 43.86 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/115297375_NjIwLTQ2NS1jZWUyMzY5ZWQ4.webp,https://pictures-nigeria.jijistatic.com/115297375_MTExLTgzLWNlZTIzNjllZDg.webp | https://pictures-nigeria.jijistatic.com/115297376_MTExLTgzLTNiMTU0NDU5Yjk.webp | https://pictures-nigeria.jijistatic.com/115297373_MTExLTgzLWUxYWJlNGFhZTY.webp | https://pictures-nigeria.jijistatic.com/115297377_MTExLTgzLWNkYTQ2ZGJlYjM.webp | https://pictures-nigeria.jijistatic.com/115297372_MTExLTgzLTI3ODY0MWExYmE.webp,Automatic,33157 km,Petrol,Foreign Used,,Victor Dike,https://jiji.ng/amuwo-odofin/cars/toyota-highlander-xle-2021-red-CoPfnBVutXGMNSUHl0wKhBk.html,No faults,Toyota,Highlander,2021,Red,No,XLE,SUV,Front Wheel,3500           cc,6,295           hp,8,,,,
Toyota Hilux 2018 Black,"₦ 28,000,000",₦ 28.25 M ~ 30.25 M,"Lagos, Ojodu",https://pictures-nigeria.jijistatic.com/115766565_NjIwLTYxOS02MzYxODk5YjA4.webp,https://pictures-nigeria.jijistatic.com/115766565_MTExLTExMS02MzYxODk5YjA4.webp | https://pictures-nigeria.jijistatic.com/115766559_MTExLTExMS0yMGM4ZjRkYmRk.webp | https://pictures-nigeria.jijistatic.com/115766564_MTExLTExMC0wYzhjMjVkODcz.webp | https://pictures-nigeria.jijistatic.com/115766562_MTExLTExMC0zZDgwZjBmY2Rk.webp | https://pictures-nigeria.jijistatic.com/115766561_MTExLTExMC0xY2ViNWU5ZGYx.webp,Automatic,,,Foreign Used,,Rosemary Autos,https://jiji.ng/ojodu/cars/toyota-hilux-2018-black-8gRzrsAF6OVQXDYt6z7Iochg.html,No faults,Toyota,Hilux,2018,Black,,,,,,,,,,,,
Toyota Camry 2005 Black,"₦ 1,900,000,",₦ 2.15 M ~ 2.32 M,"Lagos, Surulere",https://pictures-nigeria.jijistatic.com/117219396_NjIwLTQ2NS1lZTViNDY3Njk5.webp,https://pictures-nigeria.jijistatic.com/117219396_MTExLTgzLWVlNWI0Njc2OTk.webp | https://pictures-nigeria.jijistatic.com/117219402_MTExLTgzLTVjODc1OGIzMjg.webp | https://pictures-nigeria.jijistatic.com/117219395_MTExLTgzLWJlOTIyNTM5YmY.webp | https://pictures-nigeria.jijistatic.com/117219390_MTExLTgzLWNkNGQ5YWRlNGY.webp | https://pictures-nigeria.jijistatic.com/117219388_MTExLTgzLTg4ZjhmNzMwYmI.webp,Automatic,102000 km,Petrol,Nigerian Used,,Emmanuel Obiora,https://jiji.ng/surulere/cars/toyota-camry-2005-black-aDEptiwpS7qQrV2b5301rKHm.html,No faults,Toyota,Camry,2005,Black,Yes,LE 4dr Sedan (2.4L 4cyl 5A),Sedan,Front,2400           cc,4,160           hp,5,,,,
Land Rover Range Rover Velar P380 R-Dynamic HSE 4x4 2020 White,"₦ 60,000,000,",₦ 53.45 M ~ 55.3 M,"Abuja, Wuse",https://pictures-nigeria.jijistatic.com/116114114_NjIwLTc3NS1iMzNjYjk5NThl.webp,https://pictures-nigeria.jijistatic.com/116114114_MTExLTEzOS1iMzNjYjk5NThl.webp | https://pictures-nigeria.jijistatic.com/116114115_MTExLTEzOS0wMDUyYjFmZjIy.webp | https://pictures-nigeria.jijistatic.com/116114124_MTExLTEzOS01YWEwN2M4OWJh.webp | https://pictures-nigeria.jijistatic.com/116114119_MTExLTEzOS0xNjQ4NDNjNzlh.webp | https://pictures-nigeria.jijistatic.com/116114123_MTExLTEzOS1iYTgzZTJlYzlk.webp,Automatic,,,Foreign Used,,Mr.versatile,https://jiji.ng/wuse/cars/land-rover-range-rover-velar-p380-r-dynamic-hse-4x4-2020-white-k18dYBRouzsOZjVJIXUeSXGh.html,No faults,Land Rover,Range Rover Velar,2020,White,No,P380 R-Dynamic HSE 4x4,,,,,,,,,,
Mercedes-Benz CLA-Class 2015 Gray,"₦ 16,000,000",₦ 12.5 M ~ 13 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/117169536_NjIwLTgyNy0zMDBiMzYzYzM1.webp,https://pictures-nigeria.jijistatic.com/117169536_MTExLTE0OC0zMDBiMzYzYzM1.webp | https://pictures-nigeria.jijistatic.com/117169517_MTExLTE0OC02MjVhZTI4Y2U3.webp | https://pictures-nigeria.jijistatic.com/117169516_MTExLTE0OC1jNGYxMmYyYzRj.webp | https://pictures-nigeria.jijistatic.com/117169518_MTExLTE0OC1jNjRiN2ZiOTFm.webp | https://pictures-nigeria.jijistatic.com/117169519_MTExLTE0OC05NDU4NWMxYjEw.webp,Automatic,52000 km,Petrol,Foreign Used,Blind Spot Monitor | Parking Sensors | Cup Holders | Air Conditioning | Android Auto | Airbags | Electric Mirrors | Parking Assist | Alloy Wheels | LED Headlights | CD Player | Cruise Control | AM/FM Radio | Armrests | Electric Windows | Leather Seats | Front Fog Lamps | CarPlay,Ernest Onoja,https://jiji.ng/gwarinpa/cars/mercedes-benz-cla-class-2015-gray-1FPQewk7CTi7sTQ00l02oSip.html,No faults,Mercedes-Benz,CLA-Class,2015,Gray,No,CLA250 4MATIC 4dr Sedan AWD (2.0L 4cyl Turbo 7AM),Sedan,All Wheel,2000           cc,4,208           hp,,,,,
Lexus RX 2010 White,"₦ 8,100,000,",₦ 7.8 M ~ 8 M,"Lagos, Ogba",https://pictures-nigeria.jijistatic.com/116843544_NjIwLTQ0Ny03OWYwYTJjM2Nl.webp,https://pictures-nigeria.jijistatic.com/116843544_MTExLTgwLTc5ZjBhMmMzY2U.webp | https://pictures-nigeria.jijistatic.com/116843547_MTExLTc4LTMzOWQ2YjliMTU.webp | https://pictures-nigeria.jijistatic.com/116843545_MTExLTc3LTAwZGI4MTgyYmE.webp | https://pictures-nigeria.jijistatic.com/116843556_MTExLTk4LWZkYTRlZjI0MzY.webp | https://pictures-nigeria.jijistatic.com/116843552_MTExLTkyLThkNDgzZDk3Y2Q.webp,Automatic,,,Nigerian Used,,Thrift0’clock Autos,https://jiji.ng/ogba/cars/lexus-rx-2010-white-rouX6mTRUGzynGDyXlAywHZY.html,"No faults, Original parts, Unpainted",Lexus,RX,2010,White,Yes,,,,,,,,,,,
Toyota Highlander 2014 Brown,"₦ 8,600,000,",₦ 11.48 M ~ 12.52 M,"Lagos, Surulere",https://pictures-nigeria.jijistatic.com/117214344_NjIwLTQ2NS1iZjBkODlmZTBl.webp,https://pictures-nigeria.jijistatic.com/117214344_MTExLTgzLWJmMGQ4OWZlMGU.webp | https://pictures-nigeria.jijistatic.com/117214346_MTExLTgzLWE4NTllNzMyNzE.webp | https://pictures-nigeria.jijistatic.com/117214348_MTExLTE0OC0zMWYxYTc4NWIy.webp | https://pictures-nigeria.jijistatic.com/117214347_MTExLTgzLTAxNDNhZjc5MGU.webp | https://pictures-nigeria.jijistatic.com/117214409_MTExLTgzLWViNzg1NGU3ZjM.webp,Automatic,,Petrol,Nigerian Used,Alloy Wheels | Air Conditioning | AM/FM Radio | Airbags,AAA Automobiles,https://jiji.ng/surulere/cars/toyota-highlander-2014-brown-BxdNCVjQv2S0y4LtCiRkOLsq.html,"Engine issue, No faults, First owner",Toyota,Highlander,2014,Brown,Yes,Limited Platinum 4dr SUV AWD (3.5L 6cyl 6A),SUV,All Wheel,3500           cc,6,270           hp,7,Yes,,,
Acura MDX 2006 Black,"₦ 2,300,000,",₦ 1.96 M ~ 2.24 M,"Lagos, Gbagada",https://pictures-nigeria.jijistatic.com/117367492_NjIwLTQ5NC01YzY2MzM2MTgw.webp,https://pictures-nigeria.jijistatic.com/117367492_MTExLTg5LTVjNjYzMzYxODA.webp | https://pictures-nigeria.jijistatic.com/117367505_MTExLTk4LTJmOTk5MjRkNzY.webp | https://pictures-nigeria.jijistatic.com/117367501_MTExLTg3LTMyZGEzYTMzZDM.webp | https://pictures-nigeria.jijistatic.com/117367502_MTExLTg3LWRhZGFkMjNhMmY.webp | https://pictures-nigeria.jijistatic.com/117367563_MTExLTgwLTVkY2M0NjQ3OGU.webp,Automatic,,Petrol,Nigerian Used,,Dafnad Enterprise,https://jiji.ng/gbagada/cars/acura-mdx-2006-black-rMWF2j8rAsL35MF10adBNzhQ.html,Original parts,Acura,MDX,2006,Black,Yes,Touring 4dr SUV AWD (3.5L 6cyl 5A),SUV,All Wheel,3500           cc,6,253           hp,7,,,,
Nissan Micra 1999 White,"₦ 1,999,000",,"Oyo, Ibadan",https://pictures-nigeria.jijistatic.com/117206068_NjIwLTQ2NS02YTA3OTU1YmVk.webp,https://pictures-nigeria.jijistatic.com/117206068_MTExLTgzLTZhMDc5NTViZWQ.webp | https://pictures-nigeria.jijistatic.com/117206069_MTExLTgzLTIwZWNjMTE5MTk.webp | https://pictures-nigeria.jijistatic.com/117206078_MTExLTgzLTEwYWVlOWY4MGM.webp | https://pictures-nigeria.jijistatic.com/117206080_MTExLTgzLTY4NWQxY2Q3MjQ.webp | https://pictures-nigeria.jijistatic.com/117206063_MTExLTgzLWE0ODkyNDljZWI.webp,Manual,158000 km,,Foreign Used,Air Conditioning | Airbags | AM/FM Radio,Ultimike Motor,https://jiji.ng/ibadan/cars/nissan-micra-1999-white-2KuTLFY5QCd62uxa5s52XU6h.html,"No faults, Unpainted, Original parts",Nissan,Micra,1999,White,,,,,,,,,,,,
Toyota Highlander Limited 3.5l 4WD 2013 Black,"₦ 13,000,000",₦ 11.5 M ~ 12.34 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/104521799_NjIwLTQ2NS04MmRkZTU3ZGY1.webp,https://pictures-nigeria.jijistatic.com/104521799_MTExLTgzLTgyZGRlNTdkZjU.webp | https://pictures-nigeria.jijistatic.com/104521811_MTExLTgzLWY2NmRhM2M3N2I.webp | https://pictures-nigeria.jijistatic.com/104521812_MTExLTgzLWM5ODJjZWMyZjg.webp | https://pictures-nigeria.jijistatic.com/104521813_MTExLTgzLTM3NDU0ZjEzMDE.webp | https://pictures-nigeria.jijistatic.com/104521814_MTExLTgzLWRkZDViZjJmNDQ.webp,Automatic,,Petrol,Foreign Used,,Progressive Motors,https://jiji.ng/amuwo-odofin/cars/toyota-highlander-limited-3-5l-4wd-2013-black-tDdp05T3BeWkdQtZJokLhBv2.html,No faults,Toyota,Highlander,2013,Black,No,Limited 3.5l 4WD,SUV,All Wheel,3500           cc,6,270           hp,5,,,,
Toyota 4-Runner 1997 White,"₦ 1,500,000,",,"Lagos, Ifako-Ijaiye",https://pictures-nigeria.jijistatic.com/117365546_NjIwLTYyMC04MzQ5ZGMxNmU0.webp,https://pictures-nigeria.jijistatic.com/117365546_MTExLTExMS04MzQ5ZGMxNmU0.webp | https://pictures-nigeria.jijistatic.com/117365570_MTExLTExMS03MDQ4MjlhYjgx.webp | https://pictures-nigeria.jijistatic.com/117365575_MTExLTExMS01NTVlZGY0YTQ0.webp | https://pictures-nigeria.jijistatic.com/117365563_MTExLTExMS0yODhiZGI1ZTBh.webp | https://pictures-nigeria.jijistatic.com/117365574_MTExLTExMS04MjI2YmZiZTgw.webp,Automatic,1352453 km,,Nigerian Used,,Taoeed Alani,https://jiji.ng/ifako-ijaiye/cars/toyota-4-runner-1997-white-tu5yjC3F279qU5mdKlwjqUpC.html,No faults,Toyota,4-Runner,1997,White,Yes,,,,,,,,,,,
Lexus RX 2010 Blue,"₦ 10,400,000",₦ 10.8 M ~ 11 M,"Lagos, Alimosho",https://pictures-nigeria.jijistatic.com/113680201_NjIwLTkwOC1mM2FhZGI4Yzcx.webp,https://pictures-nigeria.jijistatic.com/113680201_MTExLTE2My1mM2FhZGI4Yzcx.webp | https://pictures-nigeria.jijistatic.com/113677807_MTExLTE0OC1iY2FhOTExYWNl.webp | https://pictures-nigeria.jijistatic.com/113680070_MTExLTEyMC1mYjk0NjQxMDM4.webp | https://pictures-nigeria.jijistatic.com/113680069_MTExLTEyNi03OGZhOGIwMmEy.webp | https://pictures-nigeria.jijistatic.com/113680197_MTExLTE3NS1hZmQzZjg3NjRl.webp,Automatic,,,Foreign Used,,Bgpsalmgift autos,https://jiji.ng/alimosho/cars/lexus-rx-2010-blue-jEwjEK1D6Jy0hQhlMPkuedRh.html,No faults,Lexus,RX,2010,Blue,,,,,,,,,,,,
Mercedes-Benz GLE-Class 2017 White,"₦ 27,000,000,",₦ 25.77 M ~ 28.05 M,"Lagos, Ikeja",https://pictures-nigeria.jijistatic.com/116434256_NjIwLTQ2NS02Y2U3MTc3Njhl.webp,https://pictures-nigeria.jijistatic.com/116434256_MTExLTgzLTZjZTcxNzc2OGU.webp | https://pictures-nigeria.jijistatic.com/116434268_MTExLTgzLTdmOGYxOTRjMDk.webp | https://pictures-nigeria.jijistatic.com/116434226_MTExLTgzLTJhNGU3NWJkNDg.webp | https://pictures-nigeria.jijistatic.com/116434265_MTExLTgzLTk1MjVlNjc0ZTI.webp | https://pictures-nigeria.jijistatic.com/116434269_MTExLTgzLWRhNDYyNDA5YzI.webp,Automatic,56000 km,,Foreign Used,,Kenny Adams Carz,https://jiji.ng/ikeja/cars/mercedes-benz-gle-class-2017-white-3xmo9KCB7jSxTBhluDPT8J4h.html,No faults,Mercedes-Benz,GLE-Class,2017,White,No,,,,,,,,,,,
Mercedes-Benz GL-Class 2014 Black,"₦ 19,500,000,",₦ 16.95 M ~ 17.88 M,"Lagos, Magodo",https://pictures-nigeria.jijistatic.com/116444423_NjIwLTQ2NS1kYjQ5MGJiNGNj.webp,https://pictures-nigeria.jijistatic.com/116444423_MTExLTgzLWRiNDkwYmI0Y2M.webp | https://pictures-nigeria.jijistatic.com/116444454_MTExLTgzLTA1MjQ5YWExYTA.webp | https://pictures-nigeria.jijistatic.com/116444576_MTExLTgzLWNmNmMzMDBhYTI.webp | https://pictures-nigeria.jijistatic.com/116444598_MTExLTgzLTlkNmE1N2M1YWM.webp | https://pictures-nigeria.jijistatic.com/116444644_MTExLTgzLWU2OWRkOTlmMmU.webp,Automatic,,,Foreign Used,Air Conditioning | Airbags | Alloy Wheels | AM/FM Radio | Android Auto | Anti-Lock Brakes | Armrests | Blind Spot Monitor | Bullbar | CarPlay | CD Player | Cruise Control | Cup Holders | Electric Mirrors | Electric Windows | Front Fog Lamps | Leather Seats | LED Headlights | Parking Assist | Parking Sensors | Roof Rack | Sidesteps | Spotlight | Sunroof | Traction Control | Winch | Xenon Lights,lanpets,https://jiji.ng/magodo/cars/mercedes-benz-gl-class-2014-black-oXVQx6QKnBdmzKAJH6JHO6Jg.html,No faults,Mercedes-Benz,GL-Class,2014,Black,Yes,,,,,,,,Yes,,,
Toyota Sienna XLE 7 Passenger 2012 Silver,"₦ 7,800,000",₦ 8.5 M ~ 9.22 M,"Lagos, Ikeja",https://pictures-nigeria.jijistatic.com/103812566_NjIwLTYyMC0yN2MyOThiNWU3.webp,https://pictures-nigeria.jijistatic.com/103812566_MTExLTExMS0yN2MyOThiNWU3.webp | https://pictures-nigeria.jijistatic.com/103812559_MTExLTExMS1jODdkOTg2MTgy.webp | https://pictures-nigeria.jijistatic.com/103812560_MTExLTExMS1hM2RjZTk4ODhj.webp | https://pictures-nigeria.jijistatic.com/103812561_MTExLTExMS04ODhiMTc5NDdl.webp | https://pictures-nigeria.jijistatic.com/103812570_MTExLTExMS0yYzQ5YjQyODY2.webp,Automatic,,Petrol,Foreign Used,,goodness & mercy cars ltd.,https://jiji.ng/ikeja/cars/toyota-sienna-xle-7-passenger-2012-silver-dSTKg7ge2pvWhII41TMIQKYA.html,No faults,Toyota,Sienna,2012,Silver,No,XLE 7 Passenger,Minivan,All Wheel,3500           cc,6,270           hp,7,No,,,
Honda CR-V EX 4dr SUV (2.4L 4cyl 5A) 2010 Black,"₦ 3,450,000,",₦ 2.98 M ~ 3.41 M,"Lagos, Alimosho",https://pictures-nigeria.jijistatic.com/117336122_NjIwLTgyNy1iMjFiODAwYTcy.webp,https://pictures-nigeria.jijistatic.com/117336122_MTExLTE0OC1iMjFiODAwYTcy.webp | https://pictures-nigeria.jijistatic.com/117332201_MTExLTE0OC0zOTVkNWYyYWJj.webp | https://pictures-nigeria.jijistatic.com/117332203_MTExLTE0OC04OWQ1MWIxM2Uw.webp | https://pictures-nigeria.jijistatic.com/117332207_MTExLTE0OC1hOTllZTg5MWUz.webp | https://pictures-nigeria.jijistatic.com/117332212_MTExLTE0OC00NDIzNTc1NWRh.webp,Automatic,,Petrol,Nigerian Used,,Frank Onebunne,https://jiji.ng/alimosho/cars/honda-cr-v-ex-4dr-suv-2-4l-4cyl-5a-2010-black-fKa6hki7XhN6ZTFyzQemLMPr.html,No faults,Honda,CR-V,2010,Black,Yes,EX 4dr SUV (2.4L 4cyl 5A),,Front Wheel,2400           cc,4,,5,No,,,
Toyota C-Hr 2018 Gray,"₦ 18,000,000",,"Kaduna, Kaduna / Kaduna State",https://pictures-nigeria.jijistatic.com/102805339_NjIwLTYyMC0zY2YzYjQ2MWU1.webp,https://pictures-nigeria.jijistatic.com/102805339_MTExLTExMS0zY2YzYjQ2MWU1.webp | https://pictures-nigeria.jijistatic.com/102805222_MTExLTExMS1jODVjZGM5Zjgx.webp | https://pictures-nigeria.jijistatic.com/102805338_MTExLTExMS1kMWVkOGFmNjE1.webp | https://pictures-nigeria.jijistatic.com/102805334_MTExLTExMS1lZGU1Y2RiNTE4.webp | https://pictures-nigeria.jijistatic.com/102805336_MTExLTExMS0wM2U1MjUxZjY5.webp,Automatic,,,Foreign Used,,Fx global,https://jiji.ng/kaduna-north/cars/toyota-c-hr-2018-gray-cCGBhQn8YCXhnhkN8wI1DBkS.html,No faults,Toyota,C-HR,2018,Gray,,XLE FWD Sport Utility (2.0L 4cyl 2AM),,Front Wheel,2000           cc,4,,,,,,
Toyota Highlander Limited 4x4 2008 White,"₦ 8,000,000",₦ 8.42 M ~ 8.5 M,"Lagos, Ojodu",https://pictures-nigeria.jijistatic.com/115387147_NjIwLTgyNy0xNWE4ZDAyN2E4.webp,https://pictures-nigeria.jijistatic.com/115387147_MTExLTE0OC0xNWE4ZDAyN2E4.webp | https://pictures-nigeria.jijistatic.com/115387146_MTExLTE0OC0xZGE0MTQzYzA3.webp | https://pictures-nigeria.jijistatic.com/115387145_MTExLTE0OC01MzYzYzFkNzFl.webp | https://pictures-nigeria.jijistatic.com/115387157_MTExLTgzLTgyZDMyYjNmYTI.webp | https://pictures-nigeria.jijistatic.com/115387154_MTExLTgzLThhNjhmN2ZlMjM.webp,Automatic,,Petrol,Foreign Used,Alloy Wheels | Airbags | Air Conditioning | CD Player | AM/FM Radio,Olakunle Doregos,https://jiji.ng/ojodu/cars/toyota-highlander-limited-4x4-2008-white-piug8cCa8OCDf7Ye1HkA4nDm.html,"Original parts, No faults, Unpainted",Toyota,Highlander,2008,White,No,Limited 4x4,SUV,All Wheel,3500           cc,6,275           hp,7,,,,
Toyota Highlander Limited 2012 White,"₦ 10,800,000",₦ 11 M ~ 11.7 M,"Lagos, Yaba",https://pictures-nigeria.jijistatic.com/102532874_NjIwLTgyNy1jODk2NzE5YTAw.webp,https://pictures-nigeria.jijistatic.com/102532874_MTExLTE0OC1jODk2NzE5YTAw.webp | https://pictures-nigeria.jijistatic.com/102532883_MTExLTE0OC1mMThlZjBkMjhi.webp | https://pictures-nigeria.jijistatic.com/102532893_MTExLTE0OC1jMWRlMTRjNDQz.webp | https://pictures-nigeria.jijistatic.com/102532898_MTExLTE0OC0xYjZiNGM5ZTNl.webp | https://pictures-nigeria.jijistatic.com/102532915_MTExLTE0OC1lZTBjZDUwZDBk.webp,Automatic,92000 km,Petrol,Foreign Used,,United Express Autos,https://jiji.ng/yaba/cars/toyota-highlander-limited-2012-white-5jCclenaqwtajORdRmclIrob.html,No faults,Toyota,Highlander,2012,White,No,Limited,SUV,Front Wheel,3500           cc,6,274           hp,5,,,,
Toyota Corolla 2010 Matt Black,"₦ 3,500,000,",₦ 3.3 M ~ 3.5 M,"Rivers, Port-Harcourt",https://pictures-nigeria.jijistatic.com/117348567_NjIwLTgyNy0yNTljNzQyZjI1.webp,https://pictures-nigeria.jijistatic.com/117348567_MTExLTE0OC0yNTljNzQyZjI1.webp | https://pictures-nigeria.jijistatic.com/117348564_MTExLTgzLTdkMWE2MWQwMzQ.webp | https://pictures-nigeria.jijistatic.com/117348565_MTExLTgzLWRkMGM4M2NmNjg.webp | https://pictures-nigeria.jijistatic.com/117348566_MTExLTgzLWExMjg0NmNjMzc.webp | https://pictures-nigeria.jijistatic.com/117348568_MTExLTE0OC0xZTYxNjJkMjMw.webp,Automatic,,,Nigerian Used,LED Headlights | Leather Seats | Airbags | Air Conditioning | Anti-Lock Brakes | Parking Assist | Parking Sensors | CD Player | AM/FM Radio,John Nwii-Nne Birah,https://jiji.ng/port-harcourt/cars/toyota-corolla-2010-matt-black-kyNz3jVpB9UVHklpmwmwTxKd.html,No faults,Toyota,Corolla,2010,Matt Black,Yes,,,,,,,,,,,
Toyota Highlander V6 FWD 2004 Silver,"₦ 5,150,000",₦ 4.95 M ~ 5.3 M,"Lagos, Surulere",https://pictures-nigeria.jijistatic.com/100612515_NjIwLTQ2NS00N2JjOTZlMjIx.webp,https://pictures-nigeria.jijistatic.com/100612515_MTExLTgzLTQ3YmM5NmUyMjE.webp | https://pictures-nigeria.jijistatic.com/100612506_MTExLTgzLTM2ZTEyOTY5NTk.webp | https://pictures-nigeria.jijistatic.com/100612507_MTExLTgzLTBjYmVhZGY4ODQ.webp | https://pictures-nigeria.jijistatic.com/100612511_MTExLTgzLTU5ZGJjNGI5MGU.webp | https://pictures-nigeria.jijistatic.com/100612509_MTExLTgzLWQ2M2M3M2FlODg.webp,Automatic,108000 km,Petrol,Foreign Used,,Trinitas Autos,https://jiji.ng/surulere/cars/toyota-highlander-v6-fwd-2004-silver-yTi4lb1IHu51N8GbSrvZfV4L.html,No faults,Toyota,Highlander,2004,Silver,No,V6 FWD,SUV,Front Wheel,3300           cc,6,230           hp,5-7,,,,
Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2009 Silver,"₦ 4,650,000",₦ 4.6 M ~ 4.85 M,"Lagos, Ifako-Ijaiye",https://pictures-nigeria.jijistatic.com/104046649_NjIwLTYyMC0zYWJjMGJmM2Y5.webp,https://pictures-nigeria.jijistatic.com/104046649_MTExLTExMS0zYWJjMGJmM2Y5.webp | https://pictures-nigeria.jijistatic.com/104046643_MTExLTExMS01YmNiMjhkMzdi.webp | https://pictures-nigeria.jijistatic.com/104046645_MTExLTExMS1kMDBkNDc1ZmU4.webp | https://pictures-nigeria.jijistatic.com/104046641_MTExLTExMS04M2Y1MDk5ZTlh.webp | https://pictures-nigeria.jijistatic.com/104046640_MTExLTExMS02YzU3ZGRlZDA0.webp,Automatic,112040 km,Petrol,Foreign Used,,D Two Autos,https://jiji.ng/ifako-ijaiye/cars/acura-mdx-suv-4dr-awd-3-7-6cyl-5a-2009-silver-chUxFWye3BelVMhyZ4XOIl65.html,"Original parts, Unpainted, No faults",Acura,MDX,2009,Silver,No,SUV 4dr AWD (3.7 6cyl 5A),SUV,All Wheel,3700           cc,6,300           hp,7,,,,
Mercedes-Benz C300 2008 Black,"₦ 5,600,000",₦ 5.5 M ~ 5.86 M,"Oyo, Ibadan",https://pictures-nigeria.jijistatic.com/110611311_NjIwLTgyNy01NDRkZmI2NjZh.webp,https://pictures-nigeria.jijistatic.com/110611311_MTExLTE0OC01NDRkZmI2NjZh.webp | https://pictures-nigeria.jijistatic.com/110611312_MTExLTgzLTkzYjUyZmJjZDM.webp | https://pictures-nigeria.jijistatic.com/110611315_MTExLTE0OC1iMTczNmJjNGIy.webp | https://pictures-nigeria.jijistatic.com/110611303_MTExLTgzLTI2ZmFkY2M2ZjU.webp | https://pictures-nigeria.jijistatic.com/110611313_MTExLTgzLTMxYmFlMzgxZDI.webp,Automatic,,Petrol,Foreign Used,,Bodap Motors,https://jiji.ng/ibadan/cars/mercedes-benz-c300-2008-black-zvsCBHUzNrRs8YfF74ixOe44.html,No faults,Mercedes-Benz,C300,2008,Black,No,Sport Sedan AWD (3.0L 6cyl 7A),Sedan,All Wheel,3000           cc,6,228           hp,5,,,,
