Name,Price,Market price,Location,Thumbnail,Images,Gear,Odometer,Fuel type,Car condition,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Color,Seats,Registered Car,Exchange Possible,VIN Chassis number,VIN number,Mileage
Mercedes-Benz GLC-Class 2016 Silver,"₦ 26,000,000",,"Lagos, Ajah",https://pictures-nigeria.jijistatic.com/115164286_NjIwLTYyOC0xM2UyNzZkNmEx.webp,https://pictures-nigeria.jijistatic.com/115164286_MTExLTExMi0xM2UyNzZkNmEx.webp | https://pictures-nigeria.jijistatic.com/115163495_MTExLTEyNi02Yzc1NGRjMzg3.webp | https://pictures-nigeria.jijistatic.com/115163505_MTExLTEyNi1kYzk2YTYxYTQz.webp | https://pictures-nigeria.jijistatic.com/115164279_MTExLTgzLWVkNTY2YmVmYWY.webp | https://pictures-nigeria.jijistatic.com/115163681_MTExLTgzLWUwYmZlMmQ5M2Y.webp,AMT,58847 km,,Foreign Used,Alloy Wheels | CD Player | Airbags | Android Auto | AM/FM Radio | Air Conditioning | Anti-Lock Brakes,Stephen 24,https://jiji.ng/ajah/cars/mercedes-benz-glc-class-2016-silver-7RRn0uEp7L4oT1FGLxX82rWN.html,"Unpainted, Original parts, No faults",Mercedes-Benz,GLC-Class,2016,"GLC300 4Matic Sport Utility 4-Door (2.0L, 4cyl Turbo)",,,2000           cc,4,,Silver,,No,,,,
Toyota RAV4 2013 Gray,"₦ 10,500,000",₦ 9.96 M ~ 11 M,"Lagos, Ojota",https://pictures-nigeria.jijistatic.com/111023682_NjIwLTQ2NS0yNTBlNzMyY2Y1.webp,https://pictures-nigeria.jijistatic.com/111023682_MTExLTgzLTI1MGU3MzJjZjU.webp | https://pictures-nigeria.jijistatic.com/111023683_MTExLTgzLTM5OWU2NTczMDk.webp | https://pictures-nigeria.jijistatic.com/111023684_MTExLTgzLWM0ZGZlYzYwNDQ.webp | https://pictures-nigeria.jijistatic.com/111023685_MTExLTgzLTAwZDkwYmE1NGI.webp | https://pictures-nigeria.jijistatic.com/111023686_MTExLTgzLTNjNGVhZTRhZjA.webp,Automatic,,,Foreign Used,,De-balariels global vent. Ltd,https://jiji.ng/ojota/cars/toyota-rav4-2013-gray-upejtwK4Ba5MHA3MD4lqe3BP.html,No faults,Toyota,RAV4,2013,,,,,,,Gray,,No,,,,
Mercedes-Benz G-Class 2014 Black,"₦ 45,000,000",,"Abuja, Central Business District",https://pictures-nigeria.jijistatic.com/113919490_NjIwLTgyOC1kMTYwZmYyY2Mw.webp,https://pictures-nigeria.jijistatic.com/113919490_MTExLTE0OC1kMTYwZmYyY2Mw.webp | https://pictures-nigeria.jijistatic.com/113919491_MTExLTE0OC00MGQ3ZWVjMjUx.webp | https://pictures-nigeria.jijistatic.com/113919492_MTExLTgzLTQ5MDllY2RiMjk.webp | https://pictures-nigeria.jijistatic.com/113919493_MTExLTE0OC1iY2VhYzU0ZWY1.webp | https://pictures-nigeria.jijistatic.com/113919495_MTExLTE0OC1kMDVjODc3MzM4.webp,Automatic,40000 km,Petrol,Nigerian Used,Android Auto | Spotlight | Winch | Xenon Lights | Air Conditioning | CarPlay | Bullbar | Electric Windows | Anti-Lock Brakes | AM/FM Radio | Sidesteps | Front Fog Lamps | Cup Holders | Cruise Control | Airbags | Sunroof | Armrests | Parking Sensors | Traction Control | Leather Seats | CD Player | Blind Spot Monitor | Parking Assist | Electric Mirrors | Roof Rack | Alloy Wheels,Wyatt1 Autos,https://jiji.ng/central-business-district/cars/mercedes-benz-g-class-2014-black-BqxP3hXGmqV32VUVie2OnbIB.html,No faults,Mercedes-Benz,G-Class,2014,G63 AMG 4dr SUV 4WD (5.5L 8cyl Turbo 7A),SUV,All Wheel,5500           cc,8,536           hp,Black,,No,Yes,,,
Mazda CX-7 2007 Beige,"₦ 4,300,000,",₦ 4 M ~ 4.2 M,"Lagos, Surulere",https://pictures-nigeria.jijistatic.com/103027209_NjIwLTgyOC1kMzExOWVjMDY0.webp,https://pictures-nigeria.jijistatic.com/103027209_MTExLTE0OC1kMzExOWVjMDY0.webp | https://pictures-nigeria.jijistatic.com/103027210_MTExLTE0OC1hYWMzZmEzYWE3.webp | https://pictures-nigeria.jijistatic.com/103027216_MTExLTE0OC1lNzA3NmY2MjQ1.webp | https://pictures-nigeria.jijistatic.com/103027212_MTExLTgzLWYxMGQ5OWYzZmI.webp | https://pictures-nigeria.jijistatic.com/103027220_MTExLTE0OC00MTYxNjE0NTIx.webp,Automatic,,,Foreign Used,,Adebola Apesin,https://jiji.ng/surulere/cars/mazda-cx-7-2007-beige-3JEGvw2WTH3n0hixLQkYAezd.html,No faults,Mazda,CX-7,2007,,,,,,,Beige,,No,,,,
Toyota Camry 2005 Red,"₦ 3,600,000",₦ 3.5 M ~ 3.65 M,"Lagos, Ojo",https://pictures-nigeria.jijistatic.com/110467630_NjIwLTgyNC1jNDEyZGZlMDI1.webp,https://pictures-nigeria.jijistatic.com/110467630_MTExLTE0Ny1jNDEyZGZlMDI1.webp | https://pictures-nigeria.jijistatic.com/110467623_MTExLTE0Ny0zNGMxYWUxN2Jl.webp | https://pictures-nigeria.jijistatic.com/110467626_MTExLTE0Ny0xNTM3ZDA4YTBj.webp | https://pictures-nigeria.jijistatic.com/110467628_MTExLTE0Ny01YWYwMmRkZTdk.webp | https://pictures-nigeria.jijistatic.com/110467632_MTExLTE0Ny1hNzA1NzUzODQ2.webp,Automatic,,,Foreign Used,,damola cars care enterprises,https://jiji.ng/ojo/cars/toyota-camry-2005-red-xEuz8s1sWlPA0ejSBWiFuowO.html,No faults,Toyota,Camry,2005,,,,,,,Red,,,,,,
Land Rover Range Rover 2015 Black,"₦ 22,000,000",₦ 29.2 M ~ 34.71 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/90100756_NjIwLTgyNy0zZGIxYWEyNzc2.webp,https://pictures-nigeria.jijistatic.com/90100756_MTExLTE0OC0zZGIxYWEyNzc2.webp | https://pictures-nigeria.jijistatic.com/90100793_MTExLTgzLTEzMTc2NWEwYzA.webp | https://pictures-nigeria.jijistatic.com/90100809_MTExLTgzLTk4YTI5ZWQ2MTQ.webp | https://pictures-nigeria.jijistatic.com/90100837_MTExLTgzLWEzNzA0MzI0MWQ.webp | https://pictures-nigeria.jijistatic.com/90100841_MTExLTgzLWIxMDc2NjMwMGM.webp,Automatic,101000 km,,Foreign Used,,Ernest Onoja,https://jiji.ng/gwarinpa/cars/land-rover-range-rover-2015-black-2WvKphCRAFAtjaRZ4UeKRTOH.html,No faults,Land Rover,Range Rover,2015,,,,,,,Black,,No,,,,
Lexus RX 350 2011 Gray,"₦ 7,650,000",₦ 8 M ~ 8.27 M,"Rivers, Port-Harcourt",https://pictures-nigeria.jijistatic.com/111708947_NjIwLTMxMC0xZGM3YjM4ZTMw.webp,https://pictures-nigeria.jijistatic.com/111708947_MTExLTU2LTFkYzdiMzhlMzA.webp | https://pictures-nigeria.jijistatic.com/111708962_MTExLTU2LWNhYTQ2ZDVlMTg.webp | https://pictures-nigeria.jijistatic.com/111708976_MTExLTU2LTA2YjgwMDE4NGQ.webp | https://pictures-nigeria.jijistatic.com/111708996_MTExLTU2LTA0MGRiYmQ1NzI.webp | https://pictures-nigeria.jijistatic.com/111709303_MTExLTU2LWJhZGNlNWE0NWI.webp,Automatic,112857 km,,Nigerian Used,Airbags | CarPlay | Electric Windows | Parking Sensors | Front Fog Lamps | Leather Seats | Armrests | Roof Rack | Air Conditioning | Anti-Lock Brakes | Cup Holders | AM/FM Radio | CD Player | Alloy Wheels | Traction Control,Emeka Ugo,https://jiji.ng/port-harcourt/cars/lexus-rx-350-2011-gray-yrqLNvTp9fUpw0BC6nkelK9B.html,"No faults, Original parts",Lexus,RX 350,2011,,,,,,,Gray,,Yes,,,,
Toyota RAV4 2015 Orange,"₦ 11,000,000",₦ 12 M ~ 12.5 M,"Lagos, Lekki",https://pictures-nigeria.jijistatic.com/93638197_NjIwLTQ2NS04OGY5OGI3MjEw.webp,https://pictures-nigeria.jijistatic.com/93638197_MTExLTgzLTg4Zjk4YjcyMTA.webp | https://pictures-nigeria.jijistatic.com/93638188_MTExLTgzLTI4YTk4OTdiNTI.webp | https://pictures-nigeria.jijistatic.com/93638186_MTExLTgzLWRkNDY3ZWYyOGY.webp | https://pictures-nigeria.jijistatic.com/93638189_MTExLTgzLTI0NDEwMTBkMTQ.webp | https://pictures-nigeria.jijistatic.com/93638193_MTExLTgzLTNiYThkNmNhYmY.webp,Automatic,31000 km,Petrol,Foreign Used,,Dayo Ade,https://jiji.ng/lekki/cars/toyota-rav4-2015-orange-mNb4b9S5618vWuqCWKOhjczP.html,No faults,Toyota,RAV4,2015,Limited 4dr SUV AWD (2.5L 4cyl 6A),SUV,All Wheel,2500           cc,4,,Orange,5,,,,,
Toyota Tacoma 4dr Double Cab 2016 Gray,"₦ 12,999,999,",,"Lagos, Ifako-Ijaiye",https://pictures-nigeria.jijistatic.com/116816413_NjIwLTgyNy03MzRkNzljZGM0.webp,https://pictures-nigeria.jijistatic.com/116816413_MTExLTE0OC03MzRkNzljZGM0.webp | https://pictures-nigeria.jijistatic.com/116816410_MTExLTgzLTU1MWZlNjQyZmI.webp | https://pictures-nigeria.jijistatic.com/116816411_MTExLTgzLWQ4NGIyZTZmZjk.webp | https://pictures-nigeria.jijistatic.com/116816412_MTExLTE0OC04MDJhNzU5Yzc0.webp | https://pictures-nigeria.jijistatic.com/116816416_MTExLTE0OC1iYTQ1ODE0Nzdk.webp,Automatic,45000 km,Petrol,Nigerian Used,,Littleolmi Autos,https://jiji.ng/ifako-ijaiye/cars/toyota-tacoma-4dr-double-cab-2016-gray-pUD6oRisokdcw7KKPdH23RiU.html,Unpainted,Toyota,Tacoma,2016,4dr Double Cab,Pickup,Rear Wheel,,,,Gray,,Yes,,,,
Toyota Sienna 2005 Blue,"₦ 1,650,000,",₦ 2.8 M ~ 3 M,"Imo, Owerri",https://pictures-nigeria.jijistatic.com/117332450_NjIwLTYyMC1mOTE5YjdmODdk.webp,https://pictures-nigeria.jijistatic.com/117332450_MTExLTExMS1mOTE5YjdmODdk.webp | https://pictures-nigeria.jijistatic.com/117332443_MTExLTExMS01ZjFiY2ZkZmE1.webp | https://pictures-nigeria.jijistatic.com/117332442_MTExLTExMS1iNGFhMGUyMWM5.webp | https://pictures-nigeria.jijistatic.com/117332446_MTExLTExMS1lODFkNDEyNDM2.webp | https://pictures-nigeria.jijistatic.com/117332445_MTExLTgxLTFmZGQwZmY3MGU.webp,Automatic,790000 km,,Nigerian Used,,fastwingsautopluse,https://jiji.ng/owerri-municipal/cars/toyota-sienna-2005-blue-gd2szTVsWuWsrNeFw5WBtMWc.html,No faults,Toyota,Sienna,2005,,,,,,,Blue,,Yes,,,,
Toyota Highlander 2017 White,"₦ 17,000,000",₦ 17.5 M ~ 19.25 M,"Lagos, Alimosho",https://pictures-nigeria.jijistatic.com/109897921_NjIwLTgyNy01NGQxN2I1NTU2.webp,https://pictures-nigeria.jijistatic.com/109897921_MTExLTE0OC01NGQxN2I1NTU2.webp | https://pictures-nigeria.jijistatic.com/109897904_MTExLTE0OC05MjYyNDY4Yzk5.webp | https://pictures-nigeria.jijistatic.com/109897903_MTExLTgzLTk4MTBkY2Y4YzU.webp | https://pictures-nigeria.jijistatic.com/109897905_MTExLTgzLTY3YjRhMzU0NGM.webp | https://pictures-nigeria.jijistatic.com/109897907_MTExLTgzLWQwODJhNTJkYzk.webp,Automatic,54000 km,Petrol,Foreign Used,Air Conditioning | AM/FM Radio | Alloy Wheels | Airbags | CD Player | Anti-Lock Brakes | Armrests | Front Fog Lamps | Leather Seats | Parking Sensors | Roof Rack | Sidesteps | Spotlight | Sunroof | Traction Control | Winch | Xenon Lights | Bullbar,Bishegautos,https://jiji.ng/alimosho/cars/toyota-highlander-2017-white-7X2rNOGBKZcG06Kwez8GWv8C.html,No faults,Toyota,Highlander,2017,Limited 4x4 V6 (3.5L 6cyl 8A),SUV,All Wheel,3500           cc,6,295           hp,White,7-8,No,Yes,5TDDKRFH1FS******,,
Toyota Camry 2006 Gray,"₦ 2,250,000",,,https://pictures-nigeria.jijistatic.com/117167011_NjIwLTQ2NS1iM2Y2OTA4NGM1LTE.webp,https://pictures-nigeria.jijistatic.com/117167011_MTExLTgzLWIzZjY5MDg0YzUtMQ.webp | https://pictures-nigeria.jijistatic.com/117167036_MTExLTgzLTQ0MjcyNGRmOTktMQ.webp | https://pictures-nigeria.jijistatic.com/117167028_MTExLTgzLTgxNzY3NGFiZDMtMQ.webp | https://pictures-nigeria.jijistatic.com/117167020_MTExLTgzLTMwZmRiNWU2OWQtMQ.webp | https://pictures-nigeria.jijistatic.com/117166984_MTExLTgzLWI4YmUzMmZkYTItMQ.webp,,,,,,Cars45,https://jiji.ng/owerri-municipal/cars/toyota-camry-2006-gray-k0OdhudryNvDOepLuqd8yw2Q.html,,,,,,,,,,,,,,,,,
Honda Accord EX 1999 Red,"₦ 1,000,000,",₦ 899 K ~ 1 M,"Anambra, Onitsha",https://pictures-nigeria.jijistatic.com/117327937_NjIwLTE0MTMtYmYwYTEyOWVlZg.webp,https://pictures-nigeria.jijistatic.com/117327937_MTExLTI1My1iZjBhMTI5ZWVm.webp | https://pictures-nigeria.jijistatic.com/117327928_MTExLTI1My1kZmNjODU3NjVh.webp | https://pictures-nigeria.jijistatic.com/117327931_MTExLTI1My00ZTE0MWI0ZDA4.webp | https://pictures-nigeria.jijistatic.com/117327929_MTExLTI1My1jYTJiMDQ5Y2Q1.webp | https://pictures-nigeria.jijistatic.com/117327934_MTExLTI1My0zYjE3ZmQwZDhi.webp,Automatic,,Petrol,Nigerian Used,,Ifeyinwa Perpetua,https://jiji.ng/onitsha-north/cars/honda-accord-ex-1999-red-aRcZ9I63JFxR5wjM2xwffvtc.html,No faults,Honda,Accord,1999,EX,Sedan,Front Wheel,3000           cc,,203           hp,Red,5,Yes,Yes,,,
Toyota Highlander SE 2012 Green,"₦ 9,650,000,",₦ 9.5 M ~ 9.74 M,"Lagos, Ikeja",https://pictures-nigeria.jijistatic.com/113173698_NjIwLTQ2NS05YjJhM2E4N2Rk.webp,https://pictures-nigeria.jijistatic.com/113173698_MTExLTgzLTliMmEzYTg3ZGQ.webp | https://pictures-nigeria.jijistatic.com/108271983_MTExLTgzLTJhMWQ3Y2I2OWI.webp | https://pictures-nigeria.jijistatic.com/108271984_MTExLTgzLWU0OTMyOGI3MjI.webp | https://pictures-nigeria.jijistatic.com/108271987_MTExLTgzLTYzYjEwZjljYTY.webp | https://pictures-nigeria.jijistatic.com/113173681_MTExLTgzLTJiNTZlMGEyYWU.webp,Automatic,69393 km,Petrol,Foreign Used,,ronshark_autos,https://jiji.ng/ikeja/cars/toyota-highlander-se-2012-green-yxzHFxa6GTmSNA6VnNpZ5g1Q.html,"No faults, Unpainted, Original parts",Toyota,Highlander,2012,SE,SUV,Front Wheel,2700           cc,4,190           hp,Green,5,No,,,,
Lexus RX 350 2013 Silver,"₦ 16,000,000",₦ 13.5 M ~ 13.8 M,"Ondo, Akure",https://pictures-nigeria.jijistatic.com/112295514_NjIwLTgyNC04MWNhODlmZjY2.webp,https://pictures-nigeria.jijistatic.com/112295514_MTExLTE0Ny04MWNhODlmZjY2.webp | https://pictures-nigeria.jijistatic.com/112295510_MTExLTE0Ny00NDI5MGYyYmZi.webp | https://pictures-nigeria.jijistatic.com/112295511_MTExLTE0Ny0zNTEzOTQ4MDg3.webp | https://pictures-nigeria.jijistatic.com/112295513_MTExLTE0Ny0zNzdmYmNlY2I3.webp | https://pictures-nigeria.jijistatic.com/112295515_MTExLTE0Ny0yOWM0NjBhZjYz.webp,Automatic,88000 km,,Foreign Used,Armrests | Roof Rack | Leather Seats | Air Conditioning | Spotlight | Parking Sensors | AM/FM Radio | CD Player | Alloy Wheels | Front Fog Lamps | Airbags | Cup Holders,Crownluv Ventures,https://jiji.ng/akure-south/cars/lexus-rx-350-2013-silver-aSsDUX3AIBSDBKsJPZgQAhRK.html,No faults,Lexus,RX 350,2013,,,,,,,Silver,,No,No,2T2BK1BAXDC******,,
