Name,Price,Market price,Location,Thumbnail,Images,Gear,Odometer,Fuel type,Car condition,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Color,Seats,Registered Car,Exchange Possible,VIN Chassis number,VIN number,Mileage
Toyota Tacoma 2014 White,"₦ 8,800,000",₦ 13.48 M ~ 14.5 M,"Lagos, Ajah",https://pictures-nigeria.jijistatic.com/112155762_NjIwLTQ2NS05NjU1YWMwMWM0.webp,https://pictures-nigeria.jijistatic.com/112155762_MTExLTgzLTk2NTVhYzAxYzQ.webp | https://pictures-nigeria.jijistatic.com/111955648_MTExLTgzLWExMjU2M2NiNGE.webp | https://pictures-nigeria.jijistatic.com/107978815_MTExLTgzLWNiZTllZWVhNWU.webp | https://pictures-nigeria.jijistatic.com/112155761_MTExLTgzLTI2MWYwZDU0ODM.webp | https://pictures-nigeria.jijistatic.com/112155764_MTExLTgzLTU3YTk3YjMyY2M.webp,Automatic,,Petrol,Foreign Used,Traction Control | Cup Holders | Anti-Lock Brakes | AM/FM Radio | Air Conditioning | CD Player | Airbags,Seun,https://jiji.ng/ajah/cars/toyota-tacoma-2014-white-5WoO71OSq7OT81nuBpLe26uw.html,No faults,Toyota,Tacoma,2014,2dr Regular Cab 6.1 ft. SB (2.7L 4cyl 5M),Pickup,Rear Wheel,2700           cc,4,159           hp,White,,,,,,
Lexus GX 460 2010 Gray,"₦ 19,500,000",₦ 17.5 M ~ 18.5 M,"Lagos, Magodo",https://pictures-nigeria.jijistatic.com/113346694_NjIwLTYyMC1kMDA2OGNlNDEz.webp,https://pictures-nigeria.jijistatic.com/113346694_MTExLTExMS1kMDA2OGNlNDEz.webp | https://pictures-nigeria.jijistatic.com/113346767_MTExLTExMS01MGY1MWEzN2M1.webp | https://pictures-nigeria.jijistatic.com/113346768_MTExLTExMS0xMGM1YjcxNDEz.webp | https://pictures-nigeria.jijistatic.com/113347299_MTExLTUyLWE3N2YwYmMyM2E.webp | https://pictures-nigeria.jijistatic.com/113347315_MTExLTUyLWQ1ZWY3YWFhZGU.webp,Automatic,,Petrol,Foreign Used,Alloy Wheels | AM/FM Radio | CD Player | Air Conditioning | Airbags,INVESTOCK LIMITED,https://jiji.ng/magodo/cars/lexus-gx-460-2010-gray-eLLalX6ZaQJSHk0FJl5A9VTN.html,"No faults, Original parts",Lexus,GX,2010,460,SUV,All Wheel,4600           cc,8,305           hp,Gray,7,,,,,
Acura MDX 2011 Red,"₦ 7,500,000,",₦ 6.5 M ~ 7.1 M,"Lagos, Apapa",https://pictures-nigeria.jijistatic.com/107470623_NjIwLTQ2NS0wNDdhYWMxNjMy.webp,https://pictures-nigeria.jijistatic.com/107470623_MTExLTgzLTA0N2FhYzE2MzI.webp | https://pictures-nigeria.jijistatic.com/107470624_MTExLTgzLWYyMDRlMGFlMDI.webp | https://pictures-nigeria.jijistatic.com/107470672_MTExLTgzLWRmZWE2ODczMmM.webp | https://pictures-nigeria.jijistatic.com/107470673_MTExLTgzLTRkZmZiMWI1NzY.webp | https://pictures-nigeria.jijistatic.com/107470674_MTExLTgzLWRlNWU1ZDhmOTY.webp,Automatic,75000 km,Petrol,Foreign Used,,Oyi Motors,https://jiji.ng/apapa/cars/acura-mdx-2011-red-hdhJR0zBsNOq19AqbrGviBYm.html,No faults,Acura,MDX,2011,SUV 4dr AWD (3.7L 6cyl 6A),SUV,All Wheel,3700           cc,6,300           hp,Red,7,No,,,,
Hyundai Elantra Limited 2012 Black,"₦ 4,800,000",₦ 4.8 M ~ 5.24 M,"Lagos, Ojo",https://pictures-nigeria.jijistatic.com/91261278_NjIwLTQ2NS0yMmNlN2Q1NGU5.webp,https://pictures-nigeria.jijistatic.com/91261278_MTExLTgzLTIyY2U3ZDU0ZTk.webp | https://pictures-nigeria.jijistatic.com/91260898_MTExLTE0OC0yNTI4NzFkZDVl.webp | https://pictures-nigeria.jijistatic.com/91260926_MTExLTgzLWE5OWRmZDQyYTA.webp | https://pictures-nigeria.jijistatic.com/91260968_MTExLTgzLTFiOWJiOGM3MjM.webp | https://pictures-nigeria.jijistatic.com/91261038_MTExLTgzLWZiZDk1YTY3Mzc.webp,Automatic,,Petrol,Foreign Used,,Ajiboro Remi Emeka,https://jiji.ng/ojo/cars/hyundai-elantra-limited-2012-black-3zUDwOZeAVeY1QrigKrx0Jl9.html,No faults,Hyundai,Elantra,2012,Limited,Sedan,Front Wheel,1800           cc,4,150           hp,Black,5,No,,,,
Lexus RX 350 AWD 2013 White,"₦ 13,500,000",₦ 13.5 M ~ 13.9 M,"Lagos, Gbagada",https://pictures-nigeria.jijistatic.com/111479192_NjIwLTgyNy1mNDdkOGUyODNk.webp,https://pictures-nigeria.jijistatic.com/111479192_MTExLTE0OC1mNDdkOGUyODNk.webp | https://pictures-nigeria.jijistatic.com/111479194_MTExLTgzLWJmYzc4MDRiMDk.webp | https://pictures-nigeria.jijistatic.com/111479189_MTExLTgzLTUxMWNmMjAyOWQ.webp | https://pictures-nigeria.jijistatic.com/111479191_MTExLTE0OC0wNTRiMjFlNmM0.webp | https://pictures-nigeria.jijistatic.com/111479198_MTExLTE0OC1jMGI0MTNhNGU5.webp,Automatic,70431 km,Petrol,Foreign Used,,Hashfa Auto,https://jiji.ng/gbagada/cars/lexus-rx-350-awd-2013-white-kU9VPD3AsrH4YgohUwu9NUKO.html,No faults,Lexus,RX,2013,350 AWD,SUV,All Wheel,3500           cc,6,270           hp,White,5,,,,,
Toyota Tacoma 4x4 Access Cab 2008 Gray,"₦ 8,750,000",₦ 8.52 M ~ 8.74 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/115727201_NjIwLTgyNy04NGJkNDQwYmE0.webp,https://pictures-nigeria.jijistatic.com/115727201_MTExLTE0OC04NGJkNDQwYmE0.webp | https://pictures-nigeria.jijistatic.com/114228657_MTExLTgzLTk1MGMzYzZjZmI.webp | https://pictures-nigeria.jijistatic.com/114228656_MTExLTgzLWIyMmNjNjBmZDA.webp | https://pictures-nigeria.jijistatic.com/114228655_MTExLTgzLTM3NTE0YWIyM2M.webp | https://pictures-nigeria.jijistatic.com/115727206_MTExLTE0OC05ZDY1ZDBhYTY3.webp,Automatic,98052 km,,Foreign Used,,Maduka Okwudili,https://jiji.ng/gwarinpa/cars/toyota-tacoma-4x4-access-cab-2008-gray-8VJI0y5sCMZpn4urNjDD4qHm.html,No faults,Toyota,Tacoma,2008,4x4 Access Cab,Pickup,All Wheel,2700           cc,4,161           hp,Gray,4,,,,,
Toyota Highlander 2005 Silver,"₦ 6,100,000,",₦ 5.5 M ~ 5.6 M,"Lagos, Agege",https://pictures-nigeria.jijistatic.com/116686098_NjIwLTgyNy1hMDk3ZjU1MDI1.webp,https://pictures-nigeria.jijistatic.com/116686098_MTExLTE0OC1hMDk3ZjU1MDI1.webp | https://pictures-nigeria.jijistatic.com/116686103_MTExLTE0OC01YmVmNmVlYWI3.webp | https://pictures-nigeria.jijistatic.com/116686100_MTExLTE0OC00NDc3Y2YyMDQ3.webp | https://pictures-nigeria.jijistatic.com/116686099_MTExLTE0OC03MzcwMGM5ZjRm.webp | https://pictures-nigeria.jijistatic.com/116686104_MTExLTE0OC1iNTc0ZTk3ZGUx.webp,Automatic,,,Foreign Used,,Moyosore Godwin NG,https://jiji.ng/agege/cars/toyota-highlander-2005-silver-BRyf9Xxhpy5fOwsemQVtK34m.html,No faults,Toyota,Highlander,2005,,,,,,,Silver,,No,,,,
Toyota Highlander Limited 2012 Gray,"₦ 11,500,000",₦ 11 M ~ 11.7 M,"Lagos, Magodo",https://pictures-nigeria.jijistatic.com/113202304_NjIwLTQ2NS0wMDFhYmE2MWRj.webp,https://pictures-nigeria.jijistatic.com/113202304_MTExLTgzLTAwMWFiYTYxZGM.webp | https://pictures-nigeria.jijistatic.com/113202302_MTExLTE0OC00YmQ0MTUwODQ2.webp | https://pictures-nigeria.jijistatic.com/113202301_MTExLTE0OC00YWZkNTY4NGU0.webp | https://pictures-nigeria.jijistatic.com/113202303_MTExLTE0OC0yMzgxNzYwMDVk.webp | https://pictures-nigeria.jijistatic.com/113202306_MTExLTgzLTRiODk3MTZhZmU.webp,Automatic,100000 km,Petrol,Foreign Used,,Megastone Autos,https://jiji.ng/magodo/cars/toyota-highlander-limited-2012-gray-heAXGljkrIWtN8MPn8DrhTQP.html,No faults,Toyota,Highlander,2012,Limited,SUV,Front Wheel,3500           cc,6,274           hp,Gray,5,No,,,,
Pontiac Vibe Automatic 2004 Silver,"₦ 3,350,000",₦ 3.22 M ~ 3.34 M,"Lagos, Magodo",https://pictures-nigeria.jijistatic.com/116154519_NjIwLTQ2NS1mNjc0MjZiMzJh.webp,https://pictures-nigeria.jijistatic.com/116154519_MTExLTgzLWY2NzQyNmIzMmE.webp | https://pictures-nigeria.jijistatic.com/116154542_MTExLTgzLTU5NjljYjU1NmU.webp | https://pictures-nigeria.jijistatic.com/116154528_MTExLTgzLTA2Y2JiNzFiZDg.webp | https://pictures-nigeria.jijistatic.com/116154543_MTExLTgzLWVkYTZlNTY2ZDI.webp | https://pictures-nigeria.jijistatic.com/116154515_MTExLTgzLTVhYTMwMDg0NTQ.webp,Automatic,132000 km,Petrol,Foreign Used,Air Conditioning | AM/FM Radio | CD Player | Cup Holders | Cruise Control | Sunroof | Alloy Wheels | Airbags,Mr Stephen Sunday,https://jiji.ng/magodo/cars/pontiac-vibe-automatic-2004-silver-sw0kfdQj8WrhP4NLejosSl7Z.html,No faults,Pontiac,Vibe,2004,Automatic,Hatchback,All Wheel,1800           cc,4,124           hp,Silver,5,No,No,,,
Lexus RX 330 4WD 2005 Gray,"₦ 6,000,000,",₦ 6.39 M ~ 6.5 M,"Lagos, Ojodu",https://pictures-nigeria.jijistatic.com/101762270_NjIwLTQ2NS0wNjIyZTQ5NWNi.webp,https://pictures-nigeria.jijistatic.com/101762270_MTExLTgzLTA2MjJlNDk1Y2I.webp | https://pictures-nigeria.jijistatic.com/101762271_MTExLTgzLWNmNDNjYTc1MzM.webp | https://pictures-nigeria.jijistatic.com/101762274_MTExLTgzLTIxZWVjNTIxNjM.webp | https://pictures-nigeria.jijistatic.com/101762277_MTExLTgzLTZhYjQ2OGFkNzM.webp | https://pictures-nigeria.jijistatic.com/101762272_MTExLTgzLWM4ZTBkYTY4MzU.webp,Automatic,98000 km,Petrol,Foreign Used,,Wale Ade,https://jiji.ng/ojodu/cars/lexus-rx-330-4wd-2005-gray-BXDpKf0uWPthsnT6mXl4WR2v.html,No faults,Lexus,RX,2005,330 4WD,SUV,All Wheel,3300           cc,6,233           hp,Gray,5,No,,,,
