Name,Price,Market price,Location,Thumbnail,Images,Gear,Odometer,Fuel type,Car condition,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Color,Seats,Registered Car,Exchange Possible,VIN Chassis number,VIN number,Mileage
Toyota Camry 2012 Red,"₦ 6,000,000",₦ 6.36 M ~ 6.5 M,"Lagos, Ajah",https://pictures-nigeria.jijistatic.com/108242992_NjIwLTgyNy0zYjQzYzI4OTA4.webp,https://pictures-nigeria.jijistatic.com/108242992_MTExLTE0OC0zYjQzYzI4OTA4.webp | https://pictures-nigeria.jijistatic.com/108242990_MTExLTE0OC0xYWRjZTYzNDNj.webp | https://pictures-nigeria.jijistatic.com/108242984_MTExLTE0OC1iYzQwNDAyMTYz.webp | https://pictures-nigeria.jijistatic.com/108242993_MTExLTE0OC1jMzBjMWFhMmNm.webp | https://pictures-nigeria.jijistatic.com/108242987_MTExLTE0OC04MDA2ZmJiODZk.webp,Automatic,85000 km,Petrol,Foreign Used,,SAINT JOHN GLOBAL LINK LIMITED,https://jiji.ng/ajah/cars/toyota-camry-2012-red-u1LhMf0oeB64CKIMnDHviWys.html,No faults,Toyota,Camry,2012,LE 4dr Sedan (2.5L 4cyl 6A),Sedan,Front,2500           cc,4,178           hp,Red,5,No,,,,
Mercedes-Benz GLE-Class 2017 White,"₦ 29,500,000",₦ 25 M ~ 26.89 M,"Lagos, Apapa",https://pictures-nigeria.jijistatic.com/117213728_NjIwLTQ2NS1lYmIyODQ1YTBj.webp,https://pictures-nigeria.jijistatic.com/117213728_MTExLTgzLWViYjI4NDVhMGM.webp | https://pictures-nigeria.jijistatic.com/117213726_MTExLTgzLTRiZmZjYjc0NzY.webp | https://pictures-nigeria.jijistatic.com/117213705_MTExLTgzLThmZmNkNTdjM2E.webp | https://pictures-nigeria.jijistatic.com/117213708_MTExLTgzLWFjZmE0ZDhhMWM.webp | https://pictures-nigeria.jijistatic.com/117213704_MTExLTgzLTMzZDdmZTIzZDE.webp,Automatic,,,Foreign Used,,S-A SUPERBMAX AUTOS,https://jiji.ng/apapa/cars/mercedes-benz-gle-class-2017-white-rONJoGHD4xVezJSWFkEoPaIU.html,No faults,Mercedes-Benz,GLE-Class,2017,"GLE350 4Matic Sport Utility 4-Door (3.5L, 6cyl Turbo)",,,3500           cc,6,,White,,,,,,
Toyota Highlander Limited 4x4 2009 Gray,"₦ 8,300,000,",₦ 8.75 M ~ 8.95 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/90641865_NjIwLTQ2NS1jOWI2MzE4ZmFi.webp,https://pictures-nigeria.jijistatic.com/90641865_MTExLTgzLWM5YjYzMThmYWI.webp | https://pictures-nigeria.jijistatic.com/90641862_MTExLTgzLTBhMDljNGFlZDc.webp | https://pictures-nigeria.jijistatic.com/90641855_MTExLTgzLWU0NDI3NTZhNDg.webp | https://pictures-nigeria.jijistatic.com/90641864_MTExLTgzLTgwOGVlZTFkNzk.webp | https://pictures-nigeria.jijistatic.com/90641869_MTExLTgzLWUzYTRlYWJiMWQ.webp,Automatic,78558 km,Petrol,Foreign Used,,EKESONMOTORS,https://jiji.ng/amuwo-odofin/cars/toyota-highlander-limited-4x4-2009-gray-fMSp3Hpv0MuNt6SIFflyvjVC.html,"Unpainted, No faults, Original parts",Toyota,Highlander,2009,Limited 4x4,SUV,All Wheel,3500           cc,6,274           hp,Gray,7,No,,,,
Suzuki Vitara 2008 Gray,"₦ 1,820,000",,"Abuja, Kubwa",https://pictures-nigeria.jijistatic.com/117335371_NjIwLTY3My03ODBhYzE1OTg0.webp,https://pictures-nigeria.jijistatic.com/117335371_MTExLTEyMS03ODBhYzE1OTg0.webp | https://pictures-nigeria.jijistatic.com/117335372_MTExLTg0LWFjZTYwNDFlYmU.webp | https://pictures-nigeria.jijistatic.com/117335367_MTExLTEyNy0zYTZmZjQ3OWU0.webp | https://pictures-nigeria.jijistatic.com/117335369_MTExLTEzOC04OTQwZDAzYWJm.webp | https://pictures-nigeria.jijistatic.com/117335366_MTExLTEyNi0yYjI0OTc0ZDc1.webp,Automatic,101451 km,,Nigerian Used,,Smith collections,https://jiji.ng/kubwa/cars/suzuki-vitara-2008-gray-cjbOcjVQzHN7XpOgbqOeyilv.html,"No faults, Original parts",Suzuki,Vitara,2008,,,,,,,Gray,,Yes,,,,
Land Rover Range Rover Sport 2011 Silver,"₦ 9,400,000",₦ 10.75 M ~ 11.4 M,"Lagos, Isolo",https://pictures-nigeria.jijistatic.com/111393453_NjIwLTg5Ny1mYzY2ODliMjBk.webp,https://pictures-nigeria.jijistatic.com/111393453_MTExLTE2MS1mYzY2ODliMjBk.webp | https://pictures-nigeria.jijistatic.com/111393455_MTExLTE4My0xMDdiMDJjZGI4.webp | https://pictures-nigeria.jijistatic.com/111393595_MTExLTE3MC04MjNmZmFlZWZm.webp | https://pictures-nigeria.jijistatic.com/111393614_MTExLTE3MC1jMWU4MzMwYmY4.webp | https://pictures-nigeria.jijistatic.com/111393662_MTExLTE3Mi0xMjQ2MWZjM2Rl.webp,Automatic,85000 km,Petrol,Foreign Used,Bullbar | CarPlay | Electric Mirrors | Parking Sensors | Armrests | Roof Rack | Electric Windows | Air Conditioning | Airbags | Alloy Wheels | Traction Control | CD Player | Blind Spot Monitor | AM/FM Radio | Anti-Lock Brakes | Xenon Lights | Spotlight | Leather Seats | Cup Holders | Winch | Sunroof | Sidesteps | Front Fog Lamps,Darlington Awa,https://jiji.ng/isolo/cars/land-rover-range-rover-sport-2011-silver-dyPg2D0uHS2OQXFAKLwe3ie1.html,No faults,Land Rover,Range Rover Sport,2011,Supercharged 4x4 (5.0L 8cyl 6A),SUV,All Wheel,5000           cc,8,510           hp,Silver,5,No,No,,,
Mercedes-Benz M Class ML 350 4Matic 2010 Silver,"₦ 9,500,000,",₦ 8 M ~ 8.5 M,"Lagos, Abule Egba",https://pictures-nigeria.jijistatic.com/116840539_NjIwLTgyNy03NWI1NDNhN2Vi.webp,https://pictures-nigeria.jijistatic.com/116840539_MTExLTE0OC03NWI1NDNhN2Vi.webp | https://pictures-nigeria.jijistatic.com/116840530_MTExLTE0OC05N2Q5M2ZmY2E0.webp | https://pictures-nigeria.jijistatic.com/116840533_MTExLTE0OC0wMDM4NjU3ZjU1.webp | https://pictures-nigeria.jijistatic.com/116840528_MTExLTE0OC1iNzQyMTE2MjQ4.webp | https://pictures-nigeria.jijistatic.com/116840532_MTExLTE0OC01MDE1YmM3MmE0.webp,Automatic,,Petrol,Foreign Used,,Alphatop,https://jiji.ng/lagos-abule-egba/cars/mercedes-benz-m-class-ml-350-4matic-2010-silver-yxhL1JvDysBM1uNqI8bFNRRZ.html,No faults,Mercedes-Benz,M Class,2010,ML 350 4Matic,SUV,All Wheel,3500           cc,6,268           hp,Silver,5,No,,,,
Honda Accord Crosstour EX-L AWD 2010 Red,"₦ 3,750,000,",₦ 3.56 M ~ 3.85 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/117184757_NjIwLTQ2NS00YmMwYTA0Y2Ew.webp,https://pictures-nigeria.jijistatic.com/117184757_MTExLTgzLTRiYzBhMDRjYTA.webp | https://pictures-nigeria.jijistatic.com/117184741_MTExLTgzLWExYjkyMzcwZDM.webp | https://pictures-nigeria.jijistatic.com/117184739_MTExLTgzLWYzOTBlNzhhZmM.webp | https://pictures-nigeria.jijistatic.com/117184754_MTExLTgzLTY2MjQyNThjZjE.webp | https://pictures-nigeria.jijistatic.com/117184761_MTExLTgzLTg1OGYwYzFhMmE.webp,Automatic,,Petrol,Nigerian Used,,Dami Akinro,https://jiji.ng/amuwo-odofin/cars/honda-accord-crosstour-ex-l-awd-2010-red-B80NaF6kIKadfcDnnRplZRn7.html,No faults,Honda,Accord Crosstour,2010,EX-L AWD,Hatchback,All Wheel,3500           cc,6,275           hp,Red,5,Yes,,,,
Honda Civic 1.8 Sedan DX 2007 Blue,"₦ 2,500,000,",₦ 1.56 M ~ 1.75 M,"Abuja, Utako",https://pictures-nigeria.jijistatic.com/116328805_NjIwLTgyNy1mNTQ2ZWVmNTU4.webp,https://pictures-nigeria.jijistatic.com/116328805_MTExLTE0OC1mNTQ2ZWVmNTU4.webp | https://pictures-nigeria.jijistatic.com/116312296_MTExLTgzLTVhNGRiOWUzNzM.webp | https://pictures-nigeria.jijistatic.com/116328803_MTExLTE0OC00Njk0NjIwODMw.webp | https://pictures-nigeria.jijistatic.com/116312346_MTExLTgzLTdkNzE2MDI2MTg.webp | https://pictures-nigeria.jijistatic.com/116312347_MTExLTgzLTU2ZDNiNDk0NDE.webp,Automatic,140000 km,Petrol,Nigerian Used,Air Conditioning | Alloy Wheels | Cruise Control | Sunroof,Rhein Global Services,https://jiji.ng/utako/cars/honda-civic-1-8-sedan-dx-2007-blue-yyEd2zul847Q6Ce8k8aRvUit.html,"Original parts, Unpainted, No faults",Honda,Civic,2007,1.8 Sedan DX,Sedan,Front Wheel,1800           cc,4,142           hp,Blue,5,Yes,Yes,1HGFA16897L******,,
Toyota Corolla 2014 Gray,"₦ 5,200,000",₦ 5.44 M ~ 5.5 M,"Lagos, Lekki",https://pictures-nigeria.jijistatic.com/117189906_NjIwLTgyNy01YTY5MjdlNmU2.webp,https://pictures-nigeria.jijistatic.com/117189906_MTExLTE0OC01YTY5MjdlNmU2.webp | https://pictures-nigeria.jijistatic.com/117190843_MTExLTE0OC1lMzlmZjk3ZDNi.webp | https://pictures-nigeria.jijistatic.com/117189904_MTExLTE0OC1kNzUwNDE2N2M3.webp | https://pictures-nigeria.jijistatic.com/117189905_MTExLTIxNS01YmNhNDU3ZjY3.webp | https://pictures-nigeria.jijistatic.com/117189908_MTExLTE0OC1iYTJmYzRmNGUx.webp,Automatic,,Petrol,Nigerian Used,,Kunle Idealer,https://jiji.ng/lekki/cars/toyota-corolla-2014-blue-ro4gbNqipvHof75sWuT37M8Y.html,"No faults, First owner",Toyota,Corolla,2014,LE Eco 4dr Sedan (1.8L 4cyl CVT),Sedan,Front,1800           cc,4,140           hp,Gray,,Yes,,,,
Toyota Camry 2009 White,"₦ 3,500,000,",₦ 3.02 M ~ 3.28 M,"Oyo, Ibadan",https://pictures-nigeria.jijistatic.com/117357588_NjIwLTgyNy04MGEyNmIxYmZm.webp,https://pictures-nigeria.jijistatic.com/117357588_MTExLTE0OC04MGEyNmIxYmZm.webp | https://pictures-nigeria.jijistatic.com/117357587_MTExLTE0OC1lMzVjZTAyMmI3.webp | https://pictures-nigeria.jijistatic.com/117357586_MTExLTgzLWM2N2MwYWVhNDc.webp | https://pictures-nigeria.jijistatic.com/117357589_MTExLTgzLWFjZDM5YmQ0ZTU.webp | https://pictures-nigeria.jijistatic.com/117357592_MTExLTgzLTM5MTdmMTU5YzU.webp,Automatic,,Petrol,Nigerian Used,,Captain Paul,https://jiji.ng/ibadan/cars/toyota-camry-2009-white-8b0sktz56c20cfOqzDQ9wl87.html,"No faults, Original parts, Unpainted",Toyota,Camry,2009,XLE 4dr Sedan (2.4L 4cyl 5A),Sedan,Front,2400           cc,4,158           hp,White,5,Yes,,,,
