Name,Price,Market price,Location,Thumbnail,Images,Gear,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Color,Seats,Registered Car,VIN Chassis number,Exchange Possible
Mercedes-Benz GLK-Class 2010 White,"₦ 4,850,000",₦ 6.3 M ~ 6.6 M,"Rivers, Port-Harcourt",https://pictures-nigeria.jijistatic.com/116458152_NjIwLTQ2NS0zY2U1ZDE3MjJk.webp,https://pictures-nigeria.jijistatic.com/116458152_MTExLTgzLTNjZTVkMTcyMmQ.webp | https://pictures-nigeria.jijistatic.com/116458151_MTExLTgzLTE3ZmIzYjViNTA.webp | https://pictures-nigeria.jijistatic.com/116458153_MTExLTE0OC02NjQ4MzEwNTVj.webp | https://pictures-nigeria.jijistatic.com/116458154_MTExLTgzLWY1MjZhMWE4Yzc.webp | https://pictures-nigeria.jijistatic.com/116458155_MTExLTgzLWMwODZmYTliOWU.webp,Automatic,,Ada Ifechukwu,https://jiji.ng/port-harcourt/cars/mercedes-benz-glk-class-2010-white-bbQxEKXlQwv3mkBcOTXXilp2.html,No faults,Mercedes-Benz,GLK-Class,2010,White,,,,,,,,Yes,,
Hyundai Santa Fe 2008 Blue,"₦ 2,200,000",₦ 2.82 M ~ 2.97 M,"Rivers, Port-Harcourt",https://pictures-nigeria.jijistatic.com/106115113_NjIwLTgyNy0zOWE4NjU1MGE0.webp,https://pictures-nigeria.jijistatic.com/106115113_MTExLTE0OC0zOWE4NjU1MGE0.webp | https://pictures-nigeria.jijistatic.com/106115117_MTExLTgzLTQ3NzRkYzlkYTQ.webp | https://pictures-nigeria.jijistatic.com/106115116_MTExLTgzLWEzZmRhM2RjNTg.webp | https://pictures-nigeria.jijistatic.com/106115136_MTExLTgzLTc0ODFmNmMwOGQ.webp | https://pictures-nigeria.jijistatic.com/106115130_MTExLTgzLWQ5MDg2NzRlNzg.webp,Automatic,,Emeka Ogu,https://jiji.ng/port-harcourt/cars/hyundai-santa-fe-2008-blue-fpMeSAfBXZtS1zjN7vYoa3C.html,"First owner, No faults",Hyundai,Santa Fe,2008,Blue,,,,,,,,Yes,,
Toyota RAV4 2015 Black,"₦ 11,800,000",₦ 12 M ~ 12.5 M,"Lagos, Yaba",https://pictures-nigeria.jijistatic.com/101668321_NjIwLTgyNy05YmI4YmI3YWI0.webp,https://pictures-nigeria.jijistatic.com/101668321_MTExLTE0OC05YmI4YmI3YWI0.webp | https://pictures-nigeria.jijistatic.com/101677788_MTExLTE0OC0zNTk2Nzc2MmQ1.webp | https://pictures-nigeria.jijistatic.com/101668067_MTExLTE0OC0xMzgyODIxOTRl.webp | https://pictures-nigeria.jijistatic.com/101668092_MTExLTE0OC00NzIyMWQxNjc1.webp | https://pictures-nigeria.jijistatic.com/101668109_MTExLTE0OC0wNTAyNGJkMzA1.webp,Automatic,,United Express Autos,https://jiji.ng/yaba/cars/toyota-rav4-2015-black-5IkqFzB6M6guJc0P7eqnHMK5.html,No faults,Toyota,RAV4,2015,Black,Limited 4dr SUV AWD (2.5L 4cyl 6A),SUV,All Wheel,2500           cc,4,,5,No,,
Lexus RX 300 4WD 2002 Gold,"₦ 2,350,000",₦ 2.3 M ~ 2.45 M,"Lagos, Lekki",https://pictures-nigeria.jijistatic.com/117219424_NjIwLTEzNTQtZGFlMTdkNjMyYQ.webp,https://pictures-nigeria.jijistatic.com/117219424_MTExLTI0Mi1kYWUxN2Q2MzJh.webp | https://pictures-nigeria.jijistatic.com/117219410_MTExLTI0Mi1hNGM4YTM4YzY0.webp | https://pictures-nigeria.jijistatic.com/117219411_MTExLTI0Mi1lZTdjOGZkMDFk.webp | https://pictures-nigeria.jijistatic.com/117219412_MTExLTI0Mi0xMTZmNmFiMmNh.webp | https://pictures-nigeria.jijistatic.com/117219413_MTExLTI0Mi1kNWIzY2M2MDM2.webp,Automatic,,All2Mobile Concepts,https://jiji.ng/lekki/cars/lexus-rx-300-4wd-2002-gold-3t8Q7fjUu2XpBLEryGcWIS4z.html,No faults,Lexus,RX,2002,Gold,300 4WD,SUV,All Wheel,3000           cc,6,201           hp,5,,,
Mercedes-Benz E350 2011 Gray,"₦ 6,000,000",₦ 5.85 M ~ 6 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/112566127_NjIwLTQ2NS1kMTUzNzAxMDMz.webp,https://pictures-nigeria.jijistatic.com/112566127_MTExLTgzLWQxNTM3MDEwMzM.webp | https://pictures-nigeria.jijistatic.com/112566126_MTExLTgzLWVhYTVhYTIxNWQ.webp | https://pictures-nigeria.jijistatic.com/112566141_MTExLTgzLWRmNzU0ZGZhOGM.webp | https://pictures-nigeria.jijistatic.com/112566140_MTExLTgzLTRkNTJiOWE4MTk.webp | https://pictures-nigeria.jijistatic.com/112566137_MTExLTgzLWM5ZDBiMWRlMzU.webp,Automatic,,Celebrity And Brothers Autos,https://jiji.ng/gwarinpa/cars/mercedes-benz-e350-2011-gray-ozUriDz4VhTyVkma2k88477T.html,"Unpainted, Original parts, No faults",Mercedes-Benz,E350,2011,Gray,Base 4Matic Sedan AWD (3.5L 6cyl 7A),Sedan,All Wheel,3500           cc,6,268           hp,5,Yes,,
Lexus ES 330 2006 Black,"₦ 4,700,000",₦ 4.46 M ~ 4.5 M,"Lagos, Yaba",https://pictures-nigeria.jijistatic.com/117212175_NjIwLTgyNy1hZmY1YTViNDk1.webp,https://pictures-nigeria.jijistatic.com/117212175_MTExLTE0OC1hZmY1YTViNDk1.webp | https://pictures-nigeria.jijistatic.com/117212176_MTExLTgzLWE4Mjg4MjcwNjc.webp | https://pictures-nigeria.jijistatic.com/117212177_MTExLTgzLWNlMTFiNmZkMTk.webp | https://pictures-nigeria.jijistatic.com/117212179_MTExLTgzLTBlNzU3NDc1NzY.webp | https://pictures-nigeria.jijistatic.com/117212182_MTExLTE0OC00ZTcwNmNkZDU0.webp,Automatic,,Offor Chris Mereze,https://jiji.ng/yaba/cars/lexus-es-330-2006-black-BeBXhTvCbfvW08O4GidGMy6W.html,No faults,Lexus,ES,2006,Black,330,,,,,,,No,,
Toyota Highlander XLE V6 4x2 (3.5L 6cyl 6A) 2016 Black,"₦ 16,000,000",₦ 16.88 M ~ 17.5 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/115975097_NjIwLTQ2NS1iYjk5ZWVjZmFi.webp,https://pictures-nigeria.jijistatic.com/115975097_MTExLTgzLWJiOTllZWNmYWI.webp | https://pictures-nigeria.jijistatic.com/115975087_MTExLTgzLWI4YTNmMjg3MmE.webp | https://pictures-nigeria.jijistatic.com/115975114_MTExLTgzLTljNmE2ZDkzMWU.webp | https://pictures-nigeria.jijistatic.com/115975111_MTExLTgzLTNiZmMxYjc0MjI.webp | https://pictures-nigeria.jijistatic.com/115975116_MTExLTgzLTA0YmQyN2Q2MzM.webp,Automatic,Air Conditioning | Alloy Wheels | CarPlay | Leather Seats | Front Fog Lamps | Electric Windows | LED Headlights | Roof Rack | Sidesteps | Sunroof | Traction Control,NextRide enterprises,https://jiji.ng/amuwo-odofin/cars/toyota-highlander-xle-v6-4x2-3-5l-6cyl-6a-2016-black-eQM5nvhvmQxBmDwl1dWO47yn.html,No faults,Toyota,Highlander,2016,Black,XLE V6 4x2 (3.5L 6cyl 6A),SUV,Front Wheel,3500           cc,6,270           hp,7,No,,
Toyota Sienna XLE 2001 Gold,"₦ 4,100,000,",₦ 3.8 M ~ 3.95 M,"Lagos, Ojodu",https://pictures-nigeria.jijistatic.com/116852847_NjIwLTQ2NS03Mjg1ZWYxYTZm.webp,https://pictures-nigeria.jijistatic.com/116852847_MTExLTgzLTcyODVlZjFhNmY.webp | https://pictures-nigeria.jijistatic.com/116852840_MTExLTgzLTI4YzU5Yzk1ZTE.webp | https://pictures-nigeria.jijistatic.com/116852841_MTExLTgzLTRhMTgyMjRlMDE.webp | https://pictures-nigeria.jijistatic.com/116852842_MTExLTgzLThiNDJmNGZkYWU.webp | https://pictures-nigeria.jijistatic.com/116852843_MTExLTgzLThjMDc1NjZhMzM.webp,Automatic,,Sedona Centre Limited,https://jiji.ng/ojodu/cars/toyota-sienna-xle-2001-gold-7o6LurZ6YJBPTtIvxgWm9P4T.html,"No faults, Unpainted",Toyota,Sienna,2001,Gold,XLE,Minivan,Front Wheel,3000           cc,6,210           hp,7,No,,
Toyota Camry 2009 Black,"₦ 3,500,000,",₦ 3 M ~ 3.3 M,"Delta, Warri",https://pictures-nigeria.jijistatic.com/117169453_NjIwLTgyNy1mZGZhYjFkYzdl.webp,https://pictures-nigeria.jijistatic.com/117169453_MTExLTE0OC1mZGZhYjFkYzdl.webp | https://pictures-nigeria.jijistatic.com/117169457_MTExLTE0OC1mMWQ1MzRhNzE2.webp | https://pictures-nigeria.jijistatic.com/117166163_MTExLTI0MS00ZDk0MTE0NTAw.webp | https://pictures-nigeria.jijistatic.com/117166464_MTExLTI0MS00MDA5MDllNGQz.webp | https://pictures-nigeria.jijistatic.com/117166578_MTExLTI0MS0wNGU4Zjk1M2Qz.webp,Automatic,,Ogagbe Obruche,https://jiji.ng/warri-south/cars/toyota-camry-2009-black-ksk0hu8xOq51HsfIeqJ9ZokD.html,No faults,Toyota,Camry,2009,Black,,,,,,,,Yes,Yes,
Toyota Highlander Limited 2010 White,"₦ 8,500,000",₦ 8.65 M ~ 9.3 M,"Lagos, Alimosho",https://pictures-nigeria.jijistatic.com/115514088_NjIwLTgyNy1lNDgxYTg3OWZl.webp,https://pictures-nigeria.jijistatic.com/115514088_MTExLTE0OC1lNDgxYTg3OWZl.webp | https://pictures-nigeria.jijistatic.com/115514095_MTExLTE0OC1iNjc3NTlkZmU0.webp | https://pictures-nigeria.jijistatic.com/115514143_MTExLTE0OC1iYWM0ZTAxODg5.webp | https://pictures-nigeria.jijistatic.com/115514149_MTExLTE0OC01ZmMzYmNjYmEx.webp | https://pictures-nigeria.jijistatic.com/115514161_MTExLTE0OC1kYzgxODIyMjQ3.webp,Automatic,,Mondest motors,https://jiji.ng/alimosho/cars/toyota-highlander-limited-2010-white-nMY1kpj6szxfbp2krEs4vW9T.html,"No faults, Original parts",Toyota,Highlander,2010,White,Limited,SUV,Front Wheel,3500           cc,6,274           hp,7,,,
Toyota Tacoma 2013 Red,"₦ 14,000,000",₦ 13.4 M ~ 13.5 M,"Lagos, Ajah",https://pictures-nigeria.jijistatic.com/115968719_NjIwLTQ2NC0yNGE2NTU0MDIx.webp,https://pictures-nigeria.jijistatic.com/115968719_MTExLTgzLTI0YTY1NTQwMjE.webp | https://pictures-nigeria.jijistatic.com/115968717_MTExLTgzLWUyNDY3OGY3M2Q.webp | https://pictures-nigeria.jijistatic.com/115968720_MTExLTgzLTZkODA4ZDI0Yzk.webp | https://pictures-nigeria.jijistatic.com/115968710_MTExLTgzLTdiNTRiMzUxODc.webp | https://pictures-nigeria.jijistatic.com/115968714_MTExLTgzLTE2MDBkZTgxZTg.webp,Automatic,,Leadership Motors limited,https://jiji.ng/ajah/cars/toyota-tacoma-2013-red-6w9A0RwHPE2hbpH7vZNrhkP7.html,No faults,Toyota,Tacoma,2013,Red,Double Cab 4x4 4.0L V6 5-Speed Automatic,Pickup,All Wheel,4000           cc,6,236           hp,5,No,,
Toyota Hilux 2014 SR 4x4 Black,"₦ 15,500,000",₦ 12.54 M ~ 13.95 M,"Lagos, Surulere",https://pictures-nigeria.jijistatic.com/79402881_NjIwLTgyNy1hZWMxMGM1NDQ3.webp,https://pictures-nigeria.jijistatic.com/79402881_MTExLTE0OC1hZWMxMGM1NDQ3.webp | https://pictures-nigeria.jijistatic.com/79402884_MTExLTgzLTVlYzQ2MTg4ZmU.webp | https://pictures-nigeria.jijistatic.com/79403003_MTExLTgzLWNlMTExN2ViOWI.webp | https://pictures-nigeria.jijistatic.com/79403004_MTExLTExMS1lOTkyNzhkZGI2.webp | https://pictures-nigeria.jijistatic.com/79403006_MTExLTExMS02OTE4MmQ2ODBk.webp,Automatic,,Wyatt1 Autos,https://jiji.ng/surulere/cars/toyota-hilux-2014-sr-4x4-black-dUrHFRQyWDCsVe9gQkSsjSvj.html,Original parts,Toyota,Hilux,2014,Black,SR 4x4,,,,,,,Yes,Yes,
Honda Accord 2.0 Comfort 2006 Black,"₦ 1,600,000,",₦ 1.54 M ~ 1.72 M,"Lagos, Alimosho",https://pictures-nigeria.jijistatic.com/117220796_NjIwLTYyMC0zNjQxOTY5M2Ey.webp,https://pictures-nigeria.jijistatic.com/117220796_MTExLTExMS0zNjQxOTY5M2Ey.webp | https://pictures-nigeria.jijistatic.com/117220794_MTExLTExMS05ZjYzMDJlNGNi.webp | https://pictures-nigeria.jijistatic.com/117220795_MTExLTExMS02Y2YzNzVjZTNk.webp | https://pictures-nigeria.jijistatic.com/117220798_MTExLTExMS1hOTk2OGYxNTNm.webp | https://pictures-nigeria.jijistatic.com/117220797_MTExLTExMS0xNjczOWJhZWIz.webp,Automatic,,Henry Onyebuju,https://jiji.ng/alimosho/cars/honda-accord-2-0-comfort-2006-black-tPNf2eW3XxadvTRUepWw0kke.html,"No faults, First owner, First registration",Honda,Accord,2006,Black,2.0 Comfort,Sedan,Front Wheel,2000           cc,4,155           hp,5,Yes,,
Ford Edge 2011 Burgandy,"₦ 5,900,000",₦ 6.08 M ~ 6.68 M,"Lagos, Surulere",https://pictures-nigeria.jijistatic.com/113750751_NjIwLTQ2NS0wMDllMzZkYjBj.webp,https://pictures-nigeria.jijistatic.com/113750751_MTExLTgzLTAwOWUzNmRiMGM.webp | https://pictures-nigeria.jijistatic.com/113750730_MTExLTgzLTdmNzMzYTA2OTY.webp | https://pictures-nigeria.jijistatic.com/113750732_MTExLTgzLTZmYWRmMTJkZWE.webp | https://pictures-nigeria.jijistatic.com/113750736_MTExLTgzLWU4MDlmYTUwOWQ.webp | https://pictures-nigeria.jijistatic.com/113750739_MTExLTgzLTliYThhM2FiMTk.webp,Automatic,,Ifeakanwa Joseph,https://jiji.ng/surulere/cars/ford-edge-2011-burgandy-jT6eNbnqZBVGlHETj8VmSaOc.html,"Unpainted, No faults",Ford,Edge,2011,Burgandy,Limited 4dr 4x4 (3.5L 6cyl 6A),SUV,All Wheel,3500           cc,6,285           hp,5,No,,
Lexus IS 250 2015 Black,"₦ 5,800,000",₦ 12.35 M ~ 14.22 M,"Lagos, Ojodu",https://pictures-nigeria.jijistatic.com/116553075_NjIwLTQ2NS0yOWE3NWIzOGYz.webp,https://pictures-nigeria.jijistatic.com/116553075_MTExLTgzLTI5YTc1YjM4ZjM.webp | https://pictures-nigeria.jijistatic.com/116553068_MTExLTgzLTZlYTUxZTI3ZGE.webp | https://pictures-nigeria.jijistatic.com/116553069_MTExLTgzLWI1MmE2NDhkMWM.webp | https://pictures-nigeria.jijistatic.com/116553070_MTExLTgzLTMyMjU0ZTI5OTI.webp | https://pictures-nigeria.jijistatic.com/116553071_MTExLTgzLWRhMmY0NjljOWQ.webp,Automatic,,omo tolani,https://jiji.ng/ojodu/cars/lexus-is-250-2015-black-8oJgLMr51Mh4qTdmPdh3W8Wb.html,"Unpainted, No faults",Lexus,IS,2015,Black,250,Sedan,Rear Wheel,2500           cc,6,215           hp,5,,,
Lexus RX 350 AWD 2013 Burgandy,"₦ 15,500,000,",₦ 13.5 M ~ 13.85 M,"Lagos, Alimosho",https://pictures-nigeria.jijistatic.com/114875100_NjIwLTQ2NS1lZWYyM2IwZjU3.webp,https://pictures-nigeria.jijistatic.com/114875100_MTExLTgzLWVlZjIzYjBmNTc.webp | https://pictures-nigeria.jijistatic.com/114875027_MTExLTgzLTA4YjQ2YWIxYWY.webp | https://pictures-nigeria.jijistatic.com/114875096_MTExLTgzLWNlODhlOGZmZTU.webp | https://pictures-nigeria.jijistatic.com/114875101_MTExLTgzLWUxOTJmYjFjYTU.webp | https://pictures-nigeria.jijistatic.com/114875098_MTExLTgzLTYxMjM5ZDdhNjU.webp,Automatic,Air Conditioning | AM/FM Radio | CD Player | Alloy Wheels | Airbags | Anti-Lock Brakes | Armrests | Cup Holders | Electric Mirrors | Electric Windows | Front Fog Lamps | Leather Seats | LED Headlights | Parking Assist | Roof Rack | Sidesteps | Spotlight | Sunroof | Xenon Lights,Yomi Sanni,https://jiji.ng/alimosho/cars/lexus-rx-350-awd-2013-burgandy-6wTD5x4GMmZgg93PBUg8GOMN.html,"No faults, Unpainted",Lexus,RX,2013,Burgandy,350 AWD,SUV,All Wheel,3500           cc,6,270           hp,5,No,Yes,2T2BK1BA7DC******
Mazda 626 Wagon 2000 Green,"₦ 900,000,",,"Delta, Warri",https://pictures-nigeria.jijistatic.com/117230411_NjIwLTgyNy04OTVjNjQyODI5.webp,https://pictures-nigeria.jijistatic.com/117230411_MTExLTE0OC04OTVjNjQyODI5.webp | https://pictures-nigeria.jijistatic.com/117230419_MTExLTE0OC05ZjJjY2FjMTU4.webp | https://pictures-nigeria.jijistatic.com/117230420_MTExLTE0OC0xYjkzY2E3NGM3.webp | https://pictures-nigeria.jijistatic.com/117230421_MTExLTE0OC05MTZiMjZiMWQw.webp | https://pictures-nigeria.jijistatic.com/117230424_MTExLTE0OC0zYzZmYjBkNGFj.webp,Manual,Airbags | CD Player | Alloy Wheels | Air Conditioning | AM/FM Radio,wilma autos,https://jiji.ng/warri-south/cars/mazda-626-wagon-2000-green-mIIrl5uq42X2J2UPGxBZVCmr.html,"First registration, First owner, Unpainted",Mazda,626,2000,Green,Wagon,Station Wagon,Front Wheel,1800           cc,4,101           hp,5,Yes,,
Lexus ES 350 2008 Blue,"₦ 3,900,000,",₦ 3.9 M ~ 4.2 M,"Oyo, Ibadan",https://pictures-nigeria.jijistatic.com/117172899_NjIwLTQ2NS1kYzE0NWUzYTA4.webp,https://pictures-nigeria.jijistatic.com/117172899_MTExLTgzLWRjMTQ1ZTNhMDg.webp | https://pictures-nigeria.jijistatic.com/117172901_MTExLTgzLTU0NTA3ZWZhMjU.webp | https://pictures-nigeria.jijistatic.com/117172900_MTExLTgzLWQ4YmYxNWIyYWU.webp | https://pictures-nigeria.jijistatic.com/117172905_MTExLTgzLTI4ZDczMTEwZDM.webp | https://pictures-nigeria.jijistatic.com/117172903_MTExLTgzLTg0NzIxN2UxYzA.webp,Automatic,,Akinwale Olawale,https://jiji.ng/ibadan/cars/lexus-es-350-2008-blue-pXp1ZqOmYhDuTIZypxHZ7dtk.html,No faults,Lexus,ES,2008,Blue,350,Sedan,Front,,6,,5,Yes,Yes,
Toyota Highlander 2018 Black,"₦ 17,200,000",₦ 21.78 M ~ 23.78 M,"Lagos, Isolo",https://pictures-nigeria.jijistatic.com/115912826_NjIwLTgyNy1hZTQ4ZjY0NTM4.webp,https://pictures-nigeria.jijistatic.com/115912826_MTExLTE0OC1hZTQ4ZjY0NTM4.webp | https://pictures-nigeria.jijistatic.com/115912828_MTExLTE0OC04YWU3ZTI5Mjc3.webp | https://pictures-nigeria.jijistatic.com/115912769_MTExLTE0OC1lYTQ0NzM0YmE3.webp | https://pictures-nigeria.jijistatic.com/115912770_MTExLTE0OC00NGJjYzY4YjQz.webp | https://pictures-nigeria.jijistatic.com/115912774_MTExLTE0OC05YTJlZDFmOTdk.webp,Automatic,,JOSH CARS,https://jiji.ng/isolo/cars/toyota-highlander-2018-black-52Gws9uynPFc6ZAzcPlo0YMn.html,"No faults, Original parts",Toyota,Highlander,2018,Black,,,,,,,,No,,
Toyota Venza V6 2009 Black,"₦ 6,500,000,",₦ 6.02 M ~ 6.5 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/116681099_NjIwLTQ2NS0wZGZkYjFhY2M0.webp,https://pictures-nigeria.jijistatic.com/116681099_MTExLTgzLTBkZmRiMWFjYzQ.webp | https://pictures-nigeria.jijistatic.com/116681063_MTExLTgzLWMzMzI3NGNkMDg.webp | https://pictures-nigeria.jijistatic.com/116681093_MTExLTgzLTA4MTM2YTJlODE.webp | https://pictures-nigeria.jijistatic.com/116681094_MTExLTgzLTYwMThlMzc2Nzc.webp | https://pictures-nigeria.jijistatic.com/116681100_MTExLTgzLWM5OTA2MjdhZWU.webp,Automatic,Leather Seats | Sunroof | Front Fog Lamps | Air Conditioning,Nobility 007 Autos,https://jiji.ng/amuwo-odofin/cars/toyota-venza-v6-2009-black-C0aHxWuwulAlYBJ9lAb941ZQ.html,No faults,Toyota,Venza,2009,Black,V6,Crossover,Front Wheel,3500           cc,6,273           hp,5,,,
Toyota Highlander 2009 Black,"₦ 3,720,000,",,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/112239188_NjIwLTgyNy1lNmE2MGQ1Zjgx.webp,https://pictures-nigeria.jijistatic.com/112239188_MTExLTE0OC1lNmE2MGQ1Zjgx.webp | https://pictures-nigeria.jijistatic.com/112239192_MTExLTE0OC1mOTEzOTVkMDdm.webp | https://pictures-nigeria.jijistatic.com/112239193_MTExLTE0OC1kMDM0MjcxMmI5.webp | https://pictures-nigeria.jijistatic.com/112239205_MTExLTE0OC05ZWRjY2JlNzVl.webp | https://pictures-nigeria.jijistatic.com/112239209_MTExLTE0OC01YWY4YTk5ZGUy.webp,Automatic,,Emmanuel Asibor,https://jiji.ng/gwarinpa/cars/toyota-highlander-2009-black-3YWeZmNO9MD2wEJV2YhoUtLG.html,Need body repair,Toyota,Highlander,2009,Black,,,,,,,,Yes,Yes,
Toyota Tacoma Access Cab V6 Automatic 2012 White,"₦ 12,550,000,",₦ 12.4 M ~ 12.5 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/117182892_NjIwLTQ2NS02MWFkYTEwNzZi.webp,https://pictures-nigeria.jijistatic.com/117182892_MTExLTgzLTYxYWRhMTA3NmI.webp | https://pictures-nigeria.jijistatic.com/117182894_MTExLTgzLWI4MmUwZWRkNmE.webp | https://pictures-nigeria.jijistatic.com/117182897_MTExLTgzLTI3MzI2ZjYyYWU.webp | https://pictures-nigeria.jijistatic.com/117184693_MTExLTgzLWEyY2I5YmEyYTQ.webp | https://pictures-nigeria.jijistatic.com/117182843_MTExLTgzLTU1NmVmYTEyNWU.webp,Automatic,Air Conditioning | AM/FM Radio | CD Player | Alloy Wheels | Airbags | Electric Mirrors | Leather Seats | Front Fog Lamps | Sidesteps | Spotlight,TWINS MOTORS,https://jiji.ng/amuwo-odofin/cars/toyota-tacoma-access-cab-v6-automatic-2012-white-oUpI8mYshECjTYNnuEAP2IkM.html,"No faults, Unpainted, Original parts",Toyota,Tacoma,2012,White,Access Cab V6 Automatic,Pickup,All Wheel,4000           cc,6,239           hp,4,No,,
Lexus RX 330 2004 Silver,"₦ 6,900,000,",₦ 6.3 M ~ 6.5 M,"Lagos, Alimosho",https://pictures-nigeria.jijistatic.com/116833504_NjIwLTQ5Ni1kMzE4NzM1YmJl.webp,https://pictures-nigeria.jijistatic.com/116833504_MTExLTg5LWQzMTg3MzViYmU.webp | https://pictures-nigeria.jijistatic.com/116833522_MTExLTg5LTU0ZTNmMzI3YTY.webp | https://pictures-nigeria.jijistatic.com/116833555_MTExLTg5LWNkMDliNzQ1NDM.webp | https://pictures-nigeria.jijistatic.com/116833593_MTExLTg5LTA3MTUzNTYwOTM.webp | https://pictures-nigeria.jijistatic.com/116833601_MTExLTg5LWU5N2NhYjUwYjg.webp,Automatic,,Sulaiman Sunkanmi,https://jiji.ng/alimosho/cars/lexus-rx-330-2004-silver-rWeneybVxe7j5ttM4uUMP4F7.html,"Unpainted, Original parts",Lexus,RX,2004,Silver,330,,,,,,,No,,
Toyota Camry 2013 Black,"₦ 4,000,000,",₦ 4.75 M ~ 5 M,"Delta, Warri",https://pictures-nigeria.jijistatic.com/116906389_NjIwLTgyNy1lMzJmN2ZiNGJj.webp,https://pictures-nigeria.jijistatic.com/116906389_MTExLTE0OC1lMzJmN2ZiNGJj.webp | https://pictures-nigeria.jijistatic.com/116906390_MTExLTE0OC0xNmFlNDZiMDNk.webp | https://pictures-nigeria.jijistatic.com/116906391_MTExLTE0OC0zOTFiNGFjZmZl.webp | https://pictures-nigeria.jijistatic.com/116906393_MTExLTE0OC1jNzk2MTZkZTQx.webp | https://pictures-nigeria.jijistatic.com/116906394_MTExLTE0OC00ZGU4MjVhZjll.webp,Automatic,Alloy Wheels | CD Player,Onos Onos,https://jiji.ng/warri-south/cars/toyota-camry-2013-black-8J1xM9VN8tblyrRzzMftX48O.html,No faults,Toyota,Camry,2013,Black,SE V6 4dr Sedan (3.5L 6cyl 6A),Sedan,Front,3500           cc,6,268           hp,5,Yes,No,
Toyota Camry 2015 Black,"₦ 9,500,000",₦ 9.82 M ~ 10.22 M,"Lagos, Apapa",https://pictures-nigeria.jijistatic.com/107150238_NjIwLTQ2NS04Y2NhY2YwYmU3.webp,https://pictures-nigeria.jijistatic.com/107150238_MTExLTgzLThjY2FjZjBiZTc.webp | https://pictures-nigeria.jijistatic.com/107150235_MTExLTgzLWFjM2Q4ZWZkNjE.webp | https://pictures-nigeria.jijistatic.com/107150233_MTExLTgzLTlkOGY0MjY0YzM.webp | https://pictures-nigeria.jijistatic.com/107150234_MTExLTgzLWUyYTU5MDA5OGE.webp | https://pictures-nigeria.jijistatic.com/107150236_MTExLTgzLTNkMzM1NjUzNWU.webp,Automatic,,Delight Autos,https://jiji.ng/apapa/cars/toyota-camry-2015-black-cihPOkfFb8EAn6i1nqk9Zuq9.html,"Original parts, No faults, Unpainted",Toyota,Camry,2015,Black,XLE 4dr Sedan (2.5L 4cyl 6A),Sedan,Front,2500           cc,4,178           hp,5,No,,
Toyota Venza LE AWD 2013 Silver,"₦ 8,500,000",₦ 10.05 M ~ 10.82 M,"Lagos, Ojodu",https://pictures-nigeria.jijistatic.com/116387441_NjIwLTYyMC1hM2NjYTAyNWNh.webp,https://pictures-nigeria.jijistatic.com/116387441_MTExLTExMS1hM2NjYTAyNWNh.webp | https://pictures-nigeria.jijistatic.com/116387439_MTExLTExMS0xZGNlY2ZlYjc3.webp | https://pictures-nigeria.jijistatic.com/116387461_MTExLTExMS0zOGNlOTk3Nzll.webp | https://pictures-nigeria.jijistatic.com/116387444_MTExLTExMS0yYWFjOWE4OGMw.webp | https://pictures-nigeria.jijistatic.com/116387452_MTExLTExMS1lNGI1NGU1Yjhi.webp,Automatic,Electric Windows | Leather Seats | Sunroof | Cup Holders | Front Fog Lamps | Air Conditioning | Airbags | Electric Mirrors | Alloy Wheels | CD Player | AM/FM Radio | Armrests,E-YOUNG SERVICES LTD,https://jiji.ng/ojodu/cars/toyota-venza-le-awd-2013-silver-hjXw9fWAl2VhmqSRsR5uTD4p.html,No faults,Toyota,Venza,2013,Silver,LE AWD,Crossover,All Wheel,2700           cc,4,181           hp,5,No,,
Lexus IS 2009 Black,"₦ 4,500,000",₦ 4 M ~ 4.29 M,"Abuja, Kado",https://pictures-nigeria.jijistatic.com/117189094_NjIwLTgyNy1hNDMxYzgyYTE1.webp,https://pictures-nigeria.jijistatic.com/117189094_MTExLTE0OC1hNDMxYzgyYTE1.webp | https://pictures-nigeria.jijistatic.com/117189087_MTExLTE5Ny1jOGUzMDkzYjIz.webp | https://pictures-nigeria.jijistatic.com/117189088_MTExLTE0OC03ZWI2YmE0Mzhm.webp | https://pictures-nigeria.jijistatic.com/117189090_MTExLTgzLWJmMjk1MTEyNjM.webp | https://pictures-nigeria.jijistatic.com/117189092_MTExLTE0OC1iNzUyZTdmYmE1.webp,Automatic,,Timmy Banks,https://jiji.ng/kado/cars/lexus-is-2009-black-waI3cuAiplByONTiJ7zsnqXW.html,No faults,Lexus,IS,2009,Black,,,,,,,,,,
