Name,Price,Market price,Location,Thumbnail,Images,Gear,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Color,Seats,Registered Car,VIN Chassis number,Exchange Possible
Toyota C-Hr 2018 Gray,"₦ 14,500,000",,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/111043169_NjIwLTQ2NS1iMjBlZTI1ZTcz.webp,https://pictures-nigeria.jijistatic.com/111043169_MTExLTgzLWIyMGVlMjVlNzM.webp | https://pictures-nigeria.jijistatic.com/111043177_MTExLTgzLWM2MWFlZDhjMjQ.webp | https://pictures-nigeria.jijistatic.com/111043170_MTExLTE0OC0xODMyOGFmZGE5.webp | https://pictures-nigeria.jijistatic.com/111043171_MTExLTE0OC0zYTQyODQzYzBi.webp | https://pictures-nigeria.jijistatic.com/111043172_MTExLTgzLThiYTJkMTJmM2U.webp,Automatic,,Tenimu Realdwanullah,https://jiji.ng/gwarinpa/cars/toyota-c-hr-2018-gray-unER85GbOG6V1l4l2YpqxaIb.html,No faults,Toyota,C-HR,2018,,,,,,,Gray,,,,
Toyota Sienna 2004 Gold,"₦ 5,500,000",₦ 4.5 M ~ 4.85 M,"Lagos, Magodo",https://pictures-nigeria.jijistatic.com/103993154_NjIwLTQ2NS01YWJiYWM5ZGEz.webp,https://pictures-nigeria.jijistatic.com/103993154_MTExLTgzLTVhYmJhYzlkYTM.webp | https://pictures-nigeria.jijistatic.com/103993155_MTExLTgzLTQzMzk0NGJiMWQ.webp | https://pictures-nigeria.jijistatic.com/103993156_MTExLTgzLTI0ZTM3NjlhOGU.webp | https://pictures-nigeria.jijistatic.com/103993157_MTExLTgzLTQ4NjlhNjg4Mzg.webp | https://pictures-nigeria.jijistatic.com/103993160_MTExLTgzLThmYzczYjAwZjc.webp,Automatic,Air Conditioning | Armrests | AM/FM Radio | Alloy Wheels | Anti-Lock Brakes | CD Player | Airbags,Goldmind Automobile,https://jiji.ng/magodo/cars/toyota-sienna-2004-gold-dbzYVI3DjLmIP392kEj54ed6.html,No faults,Toyota,Sienna,2004,XLE Limited AWD (3.3L V6 5A),Minivan,All Wheel,3300           cc,6,230           hp,Gold,7,No,,Yes
Infiniti QX60 2019 Black,"₦ 13,500,000",,"Abuja, Kubwa",https://pictures-nigeria.jijistatic.com/107628045_NjIwLTc3NS1lZjllYzU1MGFh.webp,https://pictures-nigeria.jijistatic.com/107628045_MTExLTEzOS1lZjllYzU1MGFh.webp | https://pictures-nigeria.jijistatic.com/107628104_MTExLTEzOS0zZWU4NmU5NDM5.webp | https://pictures-nigeria.jijistatic.com/107628102_MTExLTEzOS0zNmQ5MWRjYTY1.webp | https://pictures-nigeria.jijistatic.com/107628107_MTExLTEzOS0zOTQ5YjcyMmQ4.webp | https://pictures-nigeria.jijistatic.com/107628106_MTExLTEzOS1jNWE1ODE0MTA3.webp,Automatic,,GURU's global company,https://jiji.ng/kubwa/cars/infiniti-qx60-2019-black-kNB186QPtd3C4qgxlH7mAJ47.html,No faults,Infiniti,QX60,2019,,,,,,,Black,,,,
Name,Price,Market price,Location,Thumbnail,Images,Gear,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Color,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Seats,Registered Car,Exchange Possible,VIN Chassis number
Lexus GX 2020 Black,"₦ 10,000,000",₦ 48.5 M ~ 52.75 M,"Lagos, Ojo",https://pictures-nigeria.jijistatic.com/116820518_NjIwLTQ2NC1jYTQ4YjFhMDVi.webp,https://pictures-nigeria.jijistatic.com/116820518_MTExLTgzLWNhNDhiMWEwNWI.webp | https://pictures-nigeria.jijistatic.com/116820526_MTExLTgzLTY1ZjljMWNhYmI.webp | https://pictures-nigeria.jijistatic.com/116820525_MTExLTgzLWM5MGM0YzAzMmE.webp | https://pictures-nigeria.jijistatic.com/116820524_MTExLTgzLTA0NDUwZWU0Yjg.webp | https://pictures-nigeria.jijistatic.com/116820527_MTExLTgzLTdkNmNhZDU2YWQ.webp,Automatic,,CHI LINK RESOURCES,https://jiji.ng/ojo/cars/lexus-gx-2020-black-bk00pwKmbiHLxNblLdwzIxKL.html,No faults,Lexus,GX,2020,Black,,,,,,,,,,
Lexus RX 330 4WD 2005 Silver,"₦ 6,000,000",₦ 6.42 M ~ 6.5 M,"Lagos, Apapa",https://pictures-nigeria.jijistatic.com/108846893_NjIwLTQ2NS1kMzlhMTIzNTRi.webp,https://pictures-nigeria.jijistatic.com/108846893_MTExLTgzLWQzOWExMjM1NGI.webp | https://pictures-nigeria.jijistatic.com/108846894_MTExLTgzLWRkZDJlMmU5MzY.webp | https://pictures-nigeria.jijistatic.com/108846898_MTExLTgzLWFjMTdhZmZkOGQ.webp | https://pictures-nigeria.jijistatic.com/108846897_MTExLTgzLWUzZTZiMWM2MGE.webp | https://pictures-nigeria.jijistatic.com/108846899_MTExLTgzLWVmNDNhOTFkNDc.webp,Automatic,,Progressive Motors,https://jiji.ng/apapa/cars/lexus-rx-330-4wd-2005-silver-ldjU4EhbqGHE8ZKqcR6CrAot.html,No faults,Lexus,RX,2005,Silver,330 4WD,SUV,All Wheel,3300           cc,6,233           hp,5,No,,
Land Rover Range Rover 2020 Silver,"₦ 77,000,000",,"Abuja, Jabi",https://pictures-nigeria.jijistatic.com/114788587_NjIwLTQ2NS1iOWY2ODRkMzQ1.webp,https://pictures-nigeria.jijistatic.com/114788587_MTExLTgzLWI5ZjY4NGQzNDU.webp | https://pictures-nigeria.jijistatic.com/114788585_MTExLTgzLTAzYWM5ZjNhNjY.webp | https://pictures-nigeria.jijistatic.com/114788589_MTExLTgzLTk1NTIzYzhlNGE.webp | https://pictures-nigeria.jijistatic.com/114788579_MTExLTE0OC1hZGY4YTJlMTkw.webp | https://pictures-nigeria.jijistatic.com/114788577_MTExLTgzLTkzNDVlMGIwMmQ.webp,Automatic,,Suleiman M.K,https://jiji.ng/jabi/cars/land-rover-range-rover-2020-silver-64hUprb5JkucAU6slHKyKRGr.html,"No faults, Unpainted, Original parts",Land Rover,Range Rover,2020,Silver,,,,,,,,No,,
Toyota Camry XLE 2022 Silver,"₦ 37,800,000,",₦ 30.15 M ~ 33.8 M,"Lagos, Apapa",https://pictures-nigeria.jijistatic.com/117214056_NjIwLTQ2NC0wYzhlNDAxNDYy.webp,https://pictures-nigeria.jijistatic.com/117214056_MTExLTgzLTBjOGU0MDE0NjI.webp | https://pictures-nigeria.jijistatic.com/117214053_MTExLTgzLTAxZWNhNTM0MjU.webp | https://pictures-nigeria.jijistatic.com/117214044_MTExLTgzLWE3ZGVjNmJmODU.webp | https://pictures-nigeria.jijistatic.com/117214049_MTExLTgzLWRkZGNhZjUzNzE.webp | https://pictures-nigeria.jijistatic.com/117214055_MTExLTE0OC03NzZjMjYxZjlm.webp,Automatic,Air Conditioning | AM/FM Radio | CD Player | Android Auto | Front Fog Lamps | Leather Seats,Skills Auto,https://jiji.ng/apapa/cars/toyota-camry-xle-2022-silver-zcDyYwaE4zNlLpLjF6bIMl8q.html,"No faults, Unpainted, Original parts",Toyota,Camry,2022,Silver,XLE,Sedan,Front Wheel,2500           cc,4,203           hp,5,No,,
Toyota 4-Runner 2001 Gold,"₦ 3,789,999",,"Lagos, Abule Egba",https://pictures-nigeria.jijistatic.com/117208360_NjIwLTQ2NS1lMTAwNzYxODU5.webp,https://pictures-nigeria.jijistatic.com/117208360_MTExLTgzLWUxMDA3NjE4NTk.webp | https://pictures-nigeria.jijistatic.com/117208359_MTExLTgzLTViY2ExYjlkYjE.webp | https://pictures-nigeria.jijistatic.com/117208346_MTExLTgzLTg5YmM1OTIyYWI.webp | https://pictures-nigeria.jijistatic.com/117208353_MTExLTgzLWZjMmFlMzM3ZTc.webp | https://pictures-nigeria.jijistatic.com/117208355_MTExLTgzLTM3MzdkMGM5Y2Y.webp,Automatic,,Affordable Solution,https://jiji.ng/lagos-abule-egba/cars/toyota-4-runner-2001-gold-eO5aodjYIC5dpixr5KdecRX8.html,No faults,Toyota,4-Runner,2001,Gold,,,,,,,,,,
Toyota Land Cruiser 4.5 V8 VXR 2014 Black,"₦ 15,500,000,",₦ 24.9 M ~ 26.61 M,"Lagos, Ikeja",https://pictures-nigeria.jijistatic.com/112206838_NjIwLTQ2NS1mNjc4NWEzMjAy.webp,https://pictures-nigeria.jijistatic.com/112206838_MTExLTgzLWY2Nzg1YTMyMDI.webp | https://pictures-nigeria.jijistatic.com/112206835_MTExLTgzLTkzMDA3YTViNjM.webp | https://pictures-nigeria.jijistatic.com/112206832_MTExLTgzLTZlNTk2NzA3ZDQ.webp | https://pictures-nigeria.jijistatic.com/112206839_MTExLTgzLWNkMzliZjI5ODU.webp | https://pictures-nigeria.jijistatic.com/112206840_MTExLTgzLWMxMzI1MjZlNjQ.webp,Automatic,Parking Sensors | Sunroof | Cup Holders | Air Conditioning | Airbags | Electric Mirrors | Roof Rack | Alloy Wheels | CD Player | AM/FM Radio | Spotlight | Traction Control | Armrests | Electric Windows | Sidesteps | Leather Seats | Anti-Lock Brakes | Xenon Lights | Front Fog Lamps | CarPlay | Winch,Olaniyi Oluk,https://jiji.ng/ikeja/cars/toyota-land-cruiser-4-5-v8-vxr-2014-black-7KBbbn3wM9SltuM2lfstzps7.html,"No faults, Original parts",Toyota,Land Cruiser,2014,Black,4.5 V8 VXR,SUV,All Wheel,4500           cc,8,249           hp,8,Yes,,
