Name,Price,Market price,Location,Thumbnail,Images,Gear,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Color,Seats,Registered Car,Exchange Possible,VIN Chassis number,Mileage,VIN number
Lexus ES 350 FWD 2014 Gray,"₦ 12,800,000,",₦ 12.56 M ~ 13.2 M,"Lagos, Ikoyi",https://pictures-nigeria.jijistatic.com/89418378_NjIwLTQ2NS0yY2U5NzExMGY4.webp,https://pictures-nigeria.jijistatic.com/89418378_MTExLTgzLTJjZTk3MTEwZjg.webp | https://pictures-nigeria.jijistatic.com/89418353_MTExLTgzLTVmZWNlMzRlOTQ.webp | https://pictures-nigeria.jijistatic.com/89418391_MTExLTgzLTgxNmY2ODJmNGI.webp | https://pictures-nigeria.jijistatic.com/89418365_MTExLTgzLTJlOTAwOTcyZmI.webp | https://pictures-nigeria.jijistatic.com/89418366_MTExLTgzLWRlZjBkOGUxYTM.webp,Automatic,,Lateef Olatunde,https://jiji.ng/ikoyi-obalende/cars/lexus-es-350-fwd-2014-gray-9YIUsHGDEY9i8H3YdXnZrSx8.html,No faults,Lexus,ES,2014,350 FWD,Sedan,Front Wheel,3500           cc,6,268           hp,Gray,5,No,,,,
Mercedes-Benz M Class 2006 Silver,"₦ 9,500,000",₦ 5.92 M ~ 6.25 M,"Rivers, Port-Harcourt",https://pictures-nigeria.jijistatic.com/106141368_NjIwLTQ2NS05NGI4YWQ2MjA0.webp,https://pictures-nigeria.jijistatic.com/106141368_MTExLTgzLTk0YjhhZDYyMDQ.webp | https://pictures-nigeria.jijistatic.com/106141357_MTExLTgzLTEwMWYxMTU4ZjA.webp | https://pictures-nigeria.jijistatic.com/106141377_MTExLTgzLTM5ZTA2YjM5YTM.webp | https://pictures-nigeria.jijistatic.com/106141378_MTExLTgzLTlhZTRmZWRkOTg.webp | https://pictures-nigeria.jijistatic.com/106141374_MTExLTgzLWM5ODgyNzMyMWU.webp,Automatic,,NOVAVA LTD,https://jiji.ng/port-harcourt/cars/mercedes-benz-m-class-2006-silver-kV4NuurCddDLM9jXQ5k2YsKR.html,No faults,Mercedes-Benz,M Class,2006,ML 350 AWD 4Matic (3.5L V6 7A),SUV,All Wheel,3500           cc,6,268           hp,Silver,5,No,,,,
Toyota Sienna 2005 Silver,"₦ 4,400,000",₦ 4.7 M ~ 4.85 M,"Lagos, Isolo",https://pictures-nigeria.jijistatic.com/116353106_NjIwLTQ2NC0xZjhkMjQ4ODM1.webp,https://pictures-nigeria.jijistatic.com/116353106_MTExLTgzLTFmOGQyNDg4MzU.webp | https://pictures-nigeria.jijistatic.com/116353100_MTExLTgzLWRlNmM0N2NhZTU.webp | https://pictures-nigeria.jijistatic.com/116353097_MTExLTgzLTJiYjMxZGYxMTI.webp | https://pictures-nigeria.jijistatic.com/116353098_MTExLTgzLTRmNjcyZmQ0NzY.webp | https://pictures-nigeria.jijistatic.com/116353095_MTExLTgzLTY1YTQxMGQ2ZTE.webp,Automatic,,Judexsilver Autos,https://jiji.ng/isolo/cars/toyota-sienna-2005-silver-sCIfjRR833fhJec2wOU37VN2.html,No faults,Toyota,Sienna,2005,,,,,,,Silver,,,,,,
Toyota Camry 2006 Gray,"₦ 2,250,000",,,https://pictures-nigeria.jijistatic.com/117167011_NjIwLTQ2NS1iM2Y2OTA4NGM1LTE.webp,https://pictures-nigeria.jijistatic.com/117167011_MTExLTgzLWIzZjY5MDg0YzUtMQ.webp | https://pictures-nigeria.jijistatic.com/117167036_MTExLTgzLTQ0MjcyNGRmOTktMQ.webp | https://pictures-nigeria.jijistatic.com/117167028_MTExLTgzLTgxNzY3NGFiZDMtMQ.webp | https://pictures-nigeria.jijistatic.com/117167020_MTExLTgzLTMwZmRiNWU2OWQtMQ.webp | https://pictures-nigeria.jijistatic.com/117166984_MTExLTgzLWI4YmUzMmZkYTItMQ.webp,,,Cars45,https://jiji.ng/owerri-municipal/cars/toyota-camry-2006-gray-k0OdhudryNvDOepLuqd8yw2Q.html,,,,,,,,,,,,,,,,,
Toyota Highlander 2015 Blue,"₦ 13,800,000",₦ 16.26 M ~ 16.5 M,"Lagos, Yaba",https://pictures-nigeria.jijistatic.com/100064068_NjIwLTgyNy03NTY5ZTE0MzMy.webp,https://pictures-nigeria.jijistatic.com/100064068_MTExLTE0OC03NTY5ZTE0MzMy.webp | https://pictures-nigeria.jijistatic.com/100064072_MTExLTE0OC1jZTI5MmU5Mzlj.webp | https://pictures-nigeria.jijistatic.com/100057062_MTExLTE0OC1iN2E1MjNmMjM5.webp | https://pictures-nigeria.jijistatic.com/100057104_MTExLTE0OC01ZDU4OGU0NWFk.webp | https://pictures-nigeria.jijistatic.com/100057154_MTExLTE0OC00YjNmNmVhZDlh.webp,Automatic,,United Express Autos,https://jiji.ng/yaba/cars/toyota-highlander-2015-blue-gmPuky7an97WR1ojQdWeavJI.html,No faults,Toyota,Highlander,2015,Limited 4dr SUV AWD (3.5L 6cyl 6A),SUV,All Wheel,3500           cc,6,270           hp,Blue,7,No,,,,
Toyota RAV4 2014 Red,"₦ 6,850,000",₦ 7.34 M ~ 7.96 M,"Imo, Owerri",https://pictures-nigeria.jijistatic.com/116316627_NjIwLTI3OS0xYmQ5MWIyNzll.webp,https://pictures-nigeria.jijistatic.com/116316627_MTExLTUwLTFiZDkxYjI3OWU.webp | https://pictures-nigeria.jijistatic.com/116316617_MTExLTUwLTlkM2I2YTlkM2I.webp | https://pictures-nigeria.jijistatic.com/116316616_MTExLTI0Ny0wNTVjN2YyMTEz.webp | https://pictures-nigeria.jijistatic.com/116316624_MTExLTI0Ny01ZWEzNDY5OGYw.webp | https://pictures-nigeria.jijistatic.com/116316625_MTExLTUwLTg4NGY4ODIzOTU.webp,Automatic,Air Conditioning | Airbags | Alloy Wheels | CD Player | AM/FM Radio,Chinedu Madububa,https://jiji.ng/owerri-municipal/cars/toyota-rav4-2014-red-rsRXL2rOZDGYOi8vZpFOjCwt.html,"First owner, First registration, Unpainted",Toyota,RAV4,2014,XLE 4dr SUV AWD (2.5L 4cyl 6A),SUV,All Wheel,2500           cc,4,,Red,5,Yes,Yes,,,
Toyota Avalon 2015 Silver,"₦ 6,975,000",,,https://pictures-nigeria.jijistatic.com/117182341_NjIwLTQ2NS03ZmVlNzkwMDc1LTE.webp,https://pictures-nigeria.jijistatic.com/117182341_MTExLTgzLTdmZWU3OTAwNzUtMQ.webp | https://pictures-nigeria.jijistatic.com/117182355_MTExLTgzLWY5NTVmNWVlYzEtMQ.webp | https://pictures-nigeria.jijistatic.com/117182345_MTExLTgzLWRmZTY0OTU5NDUtMQ.webp | https://pictures-nigeria.jijistatic.com/117182344_MTExLTE0OC1jYWRlMzYxNWJmLTE.webp | https://pictures-nigeria.jijistatic.com/117182346_MTExLTgzLWY1ZTlmNmM4ZmYtMQ.webp,,,Cars45,https://jiji.ng/isolo/cars/toyota-avalon-2015-silver-dlvuwBMuBB8G8BeggtBVVzSx.html,,,,,,,,,,,,,,,,,
Toyota Sienna LE AWD 2006 Silver,"₦ 3,250,000,",₦ 2.8 M ~ 3.25 M,"Lagos, Abule Egba",https://pictures-nigeria.jijistatic.com/116854642_NjIwLTQ2NS03OWI1NTJkNjdj.webp,https://pictures-nigeria.jijistatic.com/116854642_MTExLTgzLTc5YjU1MmQ2N2M.webp | https://pictures-nigeria.jijistatic.com/116854638_MTExLTgzLTVkYmM4NzU0OTk.webp | https://pictures-nigeria.jijistatic.com/116854637_MTExLTgzLTViYWU1MmVhOTc.webp | https://pictures-nigeria.jijistatic.com/116854636_MTExLTgzLWI3ZjBjYzI1MGM.webp | https://pictures-nigeria.jijistatic.com/116854639_MTExLTgzLTlmZTJiZWI4NGE.webp,Automatic,,Joshua Adesanya,https://jiji.ng/lagos-abule-egba/cars/toyota-sienna-le-awd-2006-silver-b4V21Vec7yWUwRFl8s6BuDx2.html,No faults,Toyota,Sienna,2006,LE AWD,Minivan,All Wheel,3300           cc,6,215           hp,Silver,7,Yes,,,,
Toyota 4-Runner Limited 2008 Black,"₦ 7,180,000,",₦ 6.85 M ~ 7.35 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/110737660_NjIwLTM0OS1kMGMzOTlkMThm.webp,https://pictures-nigeria.jijistatic.com/110737660_MTExLTYyLWQwYzM5OWQxOGY.webp | https://pictures-nigeria.jijistatic.com/110737657_MTExLTYyLWFmZjBkMzg4ZDk.webp | https://pictures-nigeria.jijistatic.com/110737658_MTExLTYyLWJjNzdhMjYzMGU.webp | https://pictures-nigeria.jijistatic.com/110737659_MTExLTYyLTFiNjBlNDkwOTA.webp | https://pictures-nigeria.jijistatic.com/110737729_MTExLTgzLTQ4YWE1MDQ5M2I.webp,Automatic,Air Conditioning | CD Player | Front Fog Lamps | Roof Rack | Airbags | Leather Seats | AM/FM Radio | Electric Mirrors | Sunroof | Alloy Wheels | Electric Windows,EKESONMOTORS,https://jiji.ng/amuwo-odofin/cars/toyota-4-runner-limited-2008-black-BwyuzKJtFigO7IW7Lwx2rz73.html,"Unpainted, No faults, Original parts",Toyota,4-Runner,2008,Limited,SUV,All Wheel,4000           cc,6,260           hp,Black,5,No,,,,
Toyota Venza 2011 Black,"₦ 6,500,000,",₦ 6.2 M ~ 6.5 M,"Lagos, Ogba",https://pictures-nigeria.jijistatic.com/116873619_NjIwLTUzMi0yM2JlZGYyMTFh.webp,https://pictures-nigeria.jijistatic.com/116873619_MTExLTk1LTIzYmVkZjIxMWE.webp | https://pictures-nigeria.jijistatic.com/116873618_MTExLTk2LTMxY2FlNDY2N2E.webp | https://pictures-nigeria.jijistatic.com/116873623_MTExLTk2LTdlOGYxZTdkYTk.webp | https://pictures-nigeria.jijistatic.com/116873621_MTExLTk5LTE1ZTkwNTRjMGY.webp | https://pictures-nigeria.jijistatic.com/116873620_MTExLTkyLWQzZmQ0NzU2Mzg.webp,Automatic,Air Conditioning | CD Player | Airbags,Uti cars,https://jiji.ng/ogba/cars/toyota-venza-2011-black-phpUhEyx5Y3NPYIditCrq1QW.html,"No faults, Original parts",Toyota,Venza,2011,,,,,,,Black,,Yes,Yes,,,
Mercedes-Benz CLA-Class 2014 Red,"₦ 10,600,000,",₦ 11.6 M ~ 12.8 M,"Lagos, Lekki",https://pictures-nigeria.jijistatic.com/117180637_NjIwLTgyNy1jZjk4ZjQ5ZGNi.webp,https://pictures-nigeria.jijistatic.com/117180637_MTExLTE0OC1jZjk4ZjQ5ZGNi.webp | https://pictures-nigeria.jijistatic.com/117180628_MTExLTE0OC0xZTIxZGM1NzM4.webp | https://pictures-nigeria.jijistatic.com/117180635_MTExLTE0OC1hMGU4OTVmZmVl.webp | https://pictures-nigeria.jijistatic.com/117180634_MTExLTE0OC05MjY0ZjMzOWFh.webp | https://pictures-nigeria.jijistatic.com/117180631_MTExLTE0OC0xNDUyNjQxMmJl.webp,Automatic,,Dee-Zee Automobile,https://jiji.ng/lekki/cars/mercedes-benz-cla-class-2014-red-abg4ktRCW2CdtihdNOT94Yst.html,No faults,Mercedes-Benz,CLA-Class,2014,CLA250 4dr Sedan (2.0L 4cyl Turbo 7AM),Sedan,Front Wheel,2000           cc,4,208           hp,Red,,No,,,,
Toyota Camry 2012 Silver,"₦ 6,700,000",₦ 6.75 M ~ 6.95 M,"Lagos, Ojodu",https://pictures-nigeria.jijistatic.com/117199808_NjIwLTI3OS1mMGU1MDk1MWE3.webp,https://pictures-nigeria.jijistatic.com/117199808_MTExLTUwLWYwZTUwOTUxYTc.webp | https://pictures-nigeria.jijistatic.com/117199810_MTExLTUwLWEyYzA0YjNjZmU.webp | https://pictures-nigeria.jijistatic.com/117199825_MTExLTUwLTA2MjEzZDk4MmE.webp | https://pictures-nigeria.jijistatic.com/117199826_MTExLTUwLWQ4ODM0ZjRjYzg.webp | https://pictures-nigeria.jijistatic.com/117199827_MTExLTUwLWZlZWViNGRiYTU.webp,Automatic,Cruise Control,Michael Gibson,https://jiji.ng/ojodu/cars/toyota-camry-2012-silver-rHZQpaRZSizgNVOOiNZXFMzc.html,No faults,Toyota,Camry,2012,SE 4dr Sedan (2.5L 4cyl 6A),Sedan,Front,2500           cc,4,178           hp,Silver,5,No,,,,
Lexus RX 330 2005 Silver,"₦ 4,800,000,",₦ 4.2 M ~ 4.5 M,"Osun, Osogbo",https://pictures-nigeria.jijistatic.com/116874281_NjIwLTQ2NS1jOGQ5ZWYwZTFh.webp,https://pictures-nigeria.jijistatic.com/116874281_MTExLTgzLWM4ZDllZjBlMWE.webp | https://pictures-nigeria.jijistatic.com/116874280_MTExLTE0OC02MDA3NjFjMjlk.webp | https://pictures-nigeria.jijistatic.com/116874285_MTExLTgzLTAzMzFiMDVlYzI.webp | https://pictures-nigeria.jijistatic.com/116874286_MTExLTE0OC1lNDc1OGViZmQ4.webp | https://pictures-nigeria.jijistatic.com/116874284_MTExLTE0OC0wMTMxYWJlOTMy.webp,Automatic,Alloy Wheels | Air Conditioning | CD Player,Isaac Vincent,https://jiji.ng/osogbo/cars/lexus-rx-330-2005-silver-ClMkGv4nrSt0s6sBMabrYxUg.html,"First registration, Unpainted, First owner",Lexus,RX,2005,330,SUV,Front Wheel,3300           cc,6,234           hp,Silver,5,Yes,,,,
Toyota Venza 2011 Black,"₦ 8,800,000",₦ 9.2 M ~ 9.57 M,"Lagos, Ojo",https://pictures-nigeria.jijistatic.com/112463740_NjIwLTQ2NC0wOWZjMzc1N2Zm.webp,https://pictures-nigeria.jijistatic.com/112463740_MTExLTgzLTA5ZmMzNzU3ZmY.webp | https://pictures-nigeria.jijistatic.com/112463756_MTExLTgzLTUzODA0MTM5ZTY.webp | https://pictures-nigeria.jijistatic.com/112463753_MTExLTgzLTIzZGZkMDViYzk.webp | https://pictures-nigeria.jijistatic.com/112463755_MTExLTgzLTY0MGY1NmE1YzA.webp | https://pictures-nigeria.jijistatic.com/112463754_MTExLTgzLTE2MGEwYTFmMmI.webp,Automatic,,CHI LINK RESOURCES,https://jiji.ng/ojo/cars/toyota-venza-2011-black-hP72sB9QFVNOkhO3qHcHt4Xb.html,No faults,Toyota,Venza,2011,,,,,,,Black,,,,,,
Toyota Sienna LE AWD 2005 Red,"₦ 4,450,000",₦ 4.6 M ~ 4.8 M,"Lagos, Alimosho",https://pictures-nigeria.jijistatic.com/115599933_NjIwLTgyNy04MDgzNGQzOGU5.webp,https://pictures-nigeria.jijistatic.com/115599933_MTExLTE0OC04MDgzNGQzOGU5.webp | https://pictures-nigeria.jijistatic.com/115599901_MTExLTE0OC00NjUxZGEyMWYy.webp | https://pictures-nigeria.jijistatic.com/115599875_MTExLTE0OC01YTdlNmYwZDE5.webp | https://pictures-nigeria.jijistatic.com/115599902_MTExLTE0OC0zNjIzZDc1NjJm.webp | https://pictures-nigeria.jijistatic.com/115599921_MTExLTgzLTZmNWMzMTJjMjM.webp,Automatic,,Mondest motors,https://jiji.ng/alimosho/cars/toyota-sienna-le-awd-2005-red-w3c4nrIGKaOBnApslTuWnKht.html,"No faults, Original parts",Toyota,Sienna,2005,LE AWD,Minivan,All Wheel,3300           cc,6,233           hp,Red,7,,,,,
Lexus IS 2006 Silver,"₦ 4,500,000,",₦ 4.5 M ~ 4.9 M,"Lagos, Amuwo-Odofin",https://pictures-nigeria.jijistatic.com/116856676_NjIwLTgyNy0zNjg4ZWMzNzJj.webp,https://pictures-nigeria.jijistatic.com/116856676_MTExLTE0OC0zNjg4ZWMzNzJj.webp | https://pictures-nigeria.jijistatic.com/116856674_MTExLTE0OC05NTBhNDBhMmUy.webp | https://pictures-nigeria.jijistatic.com/116856654_MTExLTgzLTI5MTk5ODFkMjY.webp | https://pictures-nigeria.jijistatic.com/116856664_MTExLTgzLTc3NTllMGI1MTU.webp | https://pictures-nigeria.jijistatic.com/116856653_MTExLTgzLWE3NjYyMGIyZTY.webp,Automatic,,Moving On Drivable,https://jiji.ng/amuwo-odofin/cars/lexus-is-2006-silver-2siKlKXolKMk3k4jPwQ6hHPC.html,"Original parts, Unpainted, No faults",Lexus,IS,2006,,,,,,,Silver,,Yes,,,,
Honda Accord Automatic 2005 Gold,"₦ 1,450,000,",₦ 1.3 M ~ 1.4 M,"Oyo, Ibadan",https://pictures-nigeria.jijistatic.com/117142157_NjIwLTYyMC00OTZjYzQwOGYy.webp,https://pictures-nigeria.jijistatic.com/117142157_MTExLTExMS00OTZjYzQwOGYy.webp | https://pictures-nigeria.jijistatic.com/117142158_MTExLTExMS1lNTQzYTgzYTg3.webp | https://pictures-nigeria.jijistatic.com/117142164_MTExLTExMS0zMTliMWI5ZmRi.webp | https://pictures-nigeria.jijistatic.com/117142159_MTExLTExMS1jMGEyYzRiYTQ3.webp | https://pictures-nigeria.jijistatic.com/117142166_MTExLTExMS0wY2FjM2Q3YjIz.webp,Automatic,Air Conditioning | Airbags | Alloy Wheels | AM/FM Radio | Armrests,Dammy Joshua,https://jiji.ng/ibadan/cars/honda-accord-automatic-2005-gold-wL2IB3RRXYdsGChbXyt7oGiN.html,No faults,Honda,Accord,2005,Automatic,,Front Wheel,,,,Gold,,Yes,No,,,
Toyota RAV4 2009 Gray,"₦ 5,625,000",,,https://pictures-nigeria.jijistatic.com/116650487_NjIwLTQ2NS0wMzFjM2IxMzE2.webp,https://pictures-nigeria.jijistatic.com/116650487_MTExLTgzLTAzMWMzYjEzMTY.webp | https://pictures-nigeria.jijistatic.com/116650516_MTExLTgzLTkzM2M4ZGMxYzk.webp | https://pictures-nigeria.jijistatic.com/116650501_MTExLTgzLTgyY2ZmZTJmMWY.webp | https://pictures-nigeria.jijistatic.com/116650491_MTExLTgzLWViYjI4NzY4YTQ.webp | https://pictures-nigeria.jijistatic.com/116650485_MTExLTgzLTEwMGI4MjBmYWE.webp,,,Cars45,https://jiji.ng/alimosho/cars/toyota-rav4-2009-gray-cJKsitV3n7uuvtwarsjKzQ8x.html,,,,,,,,,,,,,,,,,
Toyota Camry 2008 Green,"₦ 3,100,000,",₦ 2.95 M ~ 3.2 M,"Lagos, Alimosho",https://pictures-nigeria.jijistatic.com/117188299_NjIwLTgyNy0wNWJlNzg0MTRk.webp,https://pictures-nigeria.jijistatic.com/117188299_MTExLTE0OC0wNWJlNzg0MTRk.webp | https://pictures-nigeria.jijistatic.com/117188297_MTExLTE0OC04YzAwODczZGU1.webp | https://pictures-nigeria.jijistatic.com/117188298_MTExLTE0OC0wNTFiM2Y5YWM5.webp | https://pictures-nigeria.jijistatic.com/117188305_MTExLTE0OC1mYjViODRlOGQx.webp | https://pictures-nigeria.jijistatic.com/117188312_MTExLTE0OC03ZmQxZmYwYWNj.webp,Automatic,,Comfort Joshua,https://jiji.ng/alimosho/cars/toyota-camry-2008-green-cKvDLyWmMRIKg8eCPzYSXB6v.html,"No faults, Original parts, Unpainted",Toyota,Camry,2008,,,,,,,Green,,Yes,,,,
Toyota RAV4 2007 Green,"₦ 5,600,000",₦ 5.45 M ~ 5.68 M,"Lagos, Ikeja",https://pictures-nigeria.jijistatic.com/115950309_NjIwLTgyNy05ZTdkYWRjZmM3.webp,https://pictures-nigeria.jijistatic.com/115950309_MTExLTE0OC05ZTdkYWRjZmM3.webp | https://pictures-nigeria.jijistatic.com/115950303_MTExLTE0OC05YTI4NTA2MDc2.webp | https://pictures-nigeria.jijistatic.com/115950301_MTExLTgzLTc4NTgxOTIzM2Y.webp | https://pictures-nigeria.jijistatic.com/115950307_MTExLTgzLTlmNzcwMzMwZDM.webp | https://pictures-nigeria.jijistatic.com/115950305_MTExLTgzLWI0MzE5MmNmMzM.webp,Automatic,Air Conditioning | AM/FM Radio | CD Player | Alloy Wheels | Airbags | Anti-Lock Brakes | Armrests | Bullbar | Cruise Control | Electric Mirrors | Electric Windows | Front Fog Lamps | Sidesteps | Sunroof | Traction Control | Winch,Don Maria Motors,https://jiji.ng/ikeja/cars/toyota-rav4-2007-green-w4ZkScXyq6yoiAMFsZJVbsk3.html,No faults,Toyota,RAV4,2007,,,,,,,Green,,No,No,,,
Lexus RX 330 4WD 2005 Gray,"₦ 6,000,000,",₦ 6.42 M ~ 6.5 M,"Lagos, Ojodu",https://pictures-nigeria.jijistatic.com/101762270_NjIwLTQ2NS0wNjIyZTQ5NWNi.webp,https://pictures-nigeria.jijistatic.com/101762270_MTExLTgzLTA2MjJlNDk1Y2I.webp | https://pictures-nigeria.jijistatic.com/101762271_MTExLTgzLWNmNDNjYTc1MzM.webp | https://pictures-nigeria.jijistatic.com/101762274_MTExLTgzLTIxZWVjNTIxNjM.webp | https://pictures-nigeria.jijistatic.com/101762277_MTExLTgzLTZhYjQ2OGFkNzM.webp | https://pictures-nigeria.jijistatic.com/101762272_MTExLTgzLWM4ZTBkYTY4MzU.webp,Automatic,,Wale Ade,https://jiji.ng/ojodu/cars/lexus-rx-330-4wd-2005-gray-BXDpKf0uWPthsnT6mXl4WR2v.html,No faults,Lexus,RX,2005,330 4WD,SUV,All Wheel,3300           cc,6,233           hp,Gray,5,No,,,,
Mercedes-Benz E350 2014 Black,"₦ 8,500,000,",₦ 8.4 M ~ 9.73 M,"Abuja, Gwarinpa",https://pictures-nigeria.jijistatic.com/115992805_NjIwLTQ2NS0xZmRiZjdjNjI1.webp,https://pictures-nigeria.jijistatic.com/115992805_MTExLTgzLTFmZGJmN2M2MjU.webp | https://pictures-nigeria.jijistatic.com/115992807_MTExLTgzLWIyZTE1OTczMWY.webp | https://pictures-nigeria.jijistatic.com/115994636_MTExLTE0OC0xNTdhMWYyMjY2.webp | https://pictures-nigeria.jijistatic.com/115994635_MTExLTE0OC1iMzk5ODE0NmQ2.webp | https://pictures-nigeria.jijistatic.com/115992804_MTExLTgzLTg3ZjA0YWRhYTk.webp,Automatic,,Didi Global Autos,https://jiji.ng/gwarinpa/cars/mercedes-benz-e350-2014-black-l3hjnIS5q0jV5VlWbPkq7wNV.html,No faults,Mercedes-Benz,E350,2014,,,,,,,Black,,No,Yes,,,
Land Rover Range Rover 2013 White,"₦ 13,500,000,",₦ 22.4 M ~ 29.34 M,"Lagos, Apapa",https://pictures-nigeria.jijistatic.com/108350897_NjIwLTQ2NS0wOGU5ODNlNzEy.webp,https://pictures-nigeria.jijistatic.com/108350897_MTExLTgzLTA4ZTk4M2U3MTI.webp | https://pictures-nigeria.jijistatic.com/108350899_MTExLTgzLTc3M2YzOWM4ZDM.webp | https://pictures-nigeria.jijistatic.com/108350909_MTExLTgzLWQ5ZTc2MWQyODQ.webp | https://pictures-nigeria.jijistatic.com/108350915_MTExLTgzLTIyNGE2YWYwMTA.webp | https://pictures-nigeria.jijistatic.com/108350922_MTExLTgzLTRjZWU4ZjJjZDc.webp,Automatic,,Oyi Motors,https://jiji.ng/apapa/cars/land-rover-range-rover-2013-white-5P4lnX3NsBHuibHMWRs3dhkp.html,No faults,Land Rover,Range Rover,2013,,,,,,,White,,No,,,,
Toyota Camry 2011 White,"₦ 5,700,000",₦ 4.9 M ~ 5.2 M,"Osun, Osogbo",https://pictures-nigeria.jijistatic.com/116353733_NjIwLTgyNy1mNzNlMTM4NGVh.webp,https://pictures-nigeria.jijistatic.com/116353733_MTExLTE0OC1mNzNlMTM4NGVh.webp | https://pictures-nigeria.jijistatic.com/116353731_MTExLTgzLTFjNzNhOWRjOTU.webp | https://pictures-nigeria.jijistatic.com/116353732_MTExLTE0OC05MmI1NmJlMjA4.webp | https://pictures-nigeria.jijistatic.com/116353734_MTExLTE0OC02NmZmYzMwNjll.webp | https://pictures-nigeria.jijistatic.com/116353735_MTExLTgzLWJlZjdkYjAxOTg.webp,Automatic,,Oladeru Samuel,https://jiji.ng/osogbo/cars/toyota-camry-2011-white-Mwr3QURs56s9NtTLA5r8Bl2.html,"No faults, Unpainted, Original parts",Toyota,Camry,2011,,,,,,,White,,No,,,,
Toyota Avalon 2011 Gold,"₦ 5,800,000",₦ 5.78 M ~ 6.2 M,"Lagos, Ogba",https://pictures-nigeria.jijistatic.com/117228712_NjIwLTQ2NS1lODY5MzU3M2Ix.webp,https://pictures-nigeria.jijistatic.com/117228712_MTExLTgzLWU4NjkzNTczYjE.webp | https://pictures-nigeria.jijistatic.com/117228711_MTExLTgzLThlYzMxMWYzZDY.webp | https://pictures-nigeria.jijistatic.com/117228703_MTExLTgzLTNkMjNlZTA1MmI.webp | https://pictures-nigeria.jijistatic.com/117228706_MTExLTgzLTI3NjdkMDRlYTE.webp | https://pictures-nigeria.jijistatic.com/117228707_MTExLTgzLWY2MjQyMjMxMGQ.webp,Automatic,,bimzy luxury,https://jiji.ng/ogba/cars/toyota-avalon-2011-gold-wj1dotS9gqj7b5IDRoMFJmZ1.html,No faults,Toyota,Avalon,2011,,,,,,,Gold,,No,Yes,,,
Lexus RX 350 2010 Black,"₦ 10,000,000",₦ 10.9 M ~ 11 M,"Lagos, Surulere",https://pictures-nigeria.jijistatic.com/117080140_NjIwLTQ2NS0yN2I2MGRkY2Yw.webp,https://pictures-nigeria.jijistatic.com/117080140_MTExLTgzLTI3YjYwZGRjZjA.webp | https://pictures-nigeria.jijistatic.com/117080131_MTExLTgzLWJhMmE3NzNmODc.webp | https://pictures-nigeria.jijistatic.com/117080133_MTExLTgzLWVkMTAzNDNhODY.webp | https://pictures-nigeria.jijistatic.com/117080143_MTExLTgzLWM1OWMzNzVjZjg.webp | https://pictures-nigeria.jijistatic.com/117080139_MTExLTgzLTRlOGNhODhjYzY.webp,Automatic,CD Player | Air Conditioning | Blind Spot Monitor | Anti-Lock Brakes | Alloy Wheels,Godson Okeke,https://jiji.ng/surulere/cars/lexus-rx-350-2010-black-zDDDGRtLnYxkAjByU9at8VvN.html,No faults,Lexus,RX,2010,350,SUV,,3500           cc,6,279           hp,Black,5,No,,,,
Mercedes-Benz E300 2017 White,"₦ 25,000,000",₦ 23.5 M ~ 26.29 M,"Lagos, Magodo",https://pictures-nigeria.jijistatic.com/113202569_NjIwLTQ2NS00YTdmMzY4NjBi.webp,https://pictures-nigeria.jijistatic.com/113202569_MTExLTgzLTRhN2YzNjg2MGI.webp | https://pictures-nigeria.jijistatic.com/113202571_MTExLTgzLWNhMDg3NDhhNDk.webp | https://pictures-nigeria.jijistatic.com/113202573_MTExLTgzLTBjMzQxYTZhNDQ.webp | https://pictures-nigeria.jijistatic.com/113202570_MTExLTgzLWU0NzRkYzU0ODU.webp | https://pictures-nigeria.jijistatic.com/113202572_MTExLTgzLTY1OWM2YTRlZjk.webp,Automatic,,LANSHI GLOBAL,https://jiji.ng/magodo/cars/mercedes-benz-e300-2017-white-vYh9pEBd7yY1yJCR4GWf7PN6.html,No faults,Mercedes-Benz,E300,2017,,,,,,,White,,No,,,,
Lexus RX 350 AWD 2013 Black,"₦ 13,500,000",₦ 13.5 M ~ 13.85 M,"Abuja, Kubwa",https://pictures-nigeria.jijistatic.com/106904474_NjIwLTY5Ni0xYTFhNTc0ZmY5LTE.webp,https://pictures-nigeria.jijistatic.com/106904474_MTExLTEyNS0xYTFhNTc0ZmY5LTE.webp | https://pictures-nigeria.jijistatic.com/106904460_MTExLTE5Ny1kOTgzNWJlNDVjLTE.webp | https://pictures-nigeria.jijistatic.com/106904461_MTExLTE5Ny1kMDgwODk0MjRhLTE.webp | https://pictures-nigeria.jijistatic.com/106904463_MTExLTE5Ny0yMzhkNjI2ZWM2LTE.webp | https://pictures-nigeria.jijistatic.com/106904475_MTExLTEyOS1hYzMwMmYwNTk5LTE.webp,Automatic,,Don Maria Motors,https://jiji.ng/kubwa/cars/lexus-rx-350-awd-2013-black-l7v8LOv943hm4hePAImpdW70.html,"Original parts, No faults",Lexus,RX,2013,350 AWD,SUV,All Wheel,3500           cc,6,270           hp,Black,5,No,,,,
